,title,href,about
0,"Аналітик (ринок будматеріалів), вакансія від 14 березня 2024",https://www.work.ua/jobs/5570851/,"Повна зайнятість.
                            Основні обов’язки включають аналіз ринку будівельних матеріалів, проведення досліджень, вивчення конкуренції, визначення тенденцій ринку та розробку рекомендацій для оптимізації стратегії компанії.  Ми шукаємо кандидата…"
1,"Старший аналітик відділу ризик-менеджменту (фінансові ризики), вакансія від 13 березня 2024",https://www.work.ua/jobs/5475409/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            АТ «ПроКредит Банк» — спеціалізований банк для бізнесу, що входить до міжнародної групи ПроКредит, запрошує приєднатися до команди професіоналів та оголошує конкурс на посаду Аналітика відділу ризик-менеджменту…"
2,"Трейдер-аналітик (Binance), вакансія від 20 березня 2024",https://www.work.ua/jobs/5567588/,"Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана.
                            Привіт! Ми — Flowspot — проп-трейдингова компанія, яка об'єднує трейдинг та освіту. Наша мета — надати трейдерам усі можливості для заробітку на ринку криптовалютних активів та забезпечити всіма інструментами професійного…"
3,"Фахівець-аналітик (запчастини на ﻿корейські авто), вакансія від 20 березня 2024",https://www.work.ua/jobs/4945536/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Компанія EЛІТ-Україна — офіційний імпортер та один з лідерів ринку запасних частин для легкових автомобілів, комерційного транспорту і мотоциклів, а також обладнання для СТО. EЛІТ-Україна   є частиною великої міжнародної…"
4,"Бренд-аналітик, вакансія від 19 березня 2024",https://www.work.ua/jobs/5263132/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Торгово-виробнича компанія «Щедро» запрошує до своєї команди Бренд-аналітика, м. Дніпро  Вимоги до кандидата:   Вища освіта;     Успішний досвід роботи на посаді аналітика, бренд-менеджера від 1-го року (бажано…"
5,"Кредитний аналітик, ризик-менеджер (кредитна оцінка юридичних осіб), вакансія від 19 березня 2024",https://www.work.ua/jobs/5522877/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Ми «ЕСКА Капітал» — лізингова fintech компанія. 15 років наша команда змінює ринок фінансування в Україні та допомагає розвиватися мікро-, малому та середньому бізнесу. Ми профінансували понад 2 000 підприємців…"
6,"Бізнес-аналітик (Київстар ТБ), вакансія від 19 березня 2024",https://www.work.ua/jobs/5005341/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            1+1 media — один з найбільших медіабізнесів Східної Європи з понад 25-річною історією, що нині працює 24 на 7 задля головної мети — Перемоги України у війні з рф.  1+1 media обʼєднує та взаємодіє на партнерських…"
7,"Старший менеджер з планування та комерційної аналітики, вакансія від 18 березня 2024",https://www.work.ua/jobs/5489441/,"Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            Старший Менеджер з Планування та Комерційної Аналітики, Головний офіс  Робота в ДТЕК — це можливість стати частиною професійної команди, що підтримує та розвиває енергетичну інфраструктуру українського та європейського…"
8,"Аналітик департаменту маркетингу, вакансія від 18 березня 2024",https://www.work.ua/jobs/5472309/,"Повна зайнятість. Досвід роботи від 2 років.
                            Ми — мережа ресторанів і доставки «Япошка». Ми віримо у те, що досягти справжнього успіху можна лише у справі, яку ти любиш. Тож, щоб разом досягати великих результатів, шукаємо у нашу команду талановитого, пристрасного…"
9,"Комерційний директор, керівник відділу закупівель, продакт-менеджер, аналітик продажів, вакансія від 18 березня 2024",https://www.work.ua/jobs/5561807/,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            HEY BECCA — молода українська компанія, яка дуже швидко зростає. Ми виготовляємо базовий стильний одяг для життя та спорту. Наша команда стрімко збільшується і зараз ми в пошуках ще одного крутого спеціаліста —…"
10,"Аналітик відділу закупівель залізничних послуг, вакансія від 18 березня 2024",https://www.work.ua/jobs/5520365/,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Метінвест — міжнародна гірничо-металургійна група компаній, яка об'єднує видобувні та металургійні підприємства в Україні, Європі та США. Ми контролюємо весь виробничий ланцюжок — від видобутку руди та вугілля до виробництва…"
11,"Фінансовий аналітик, вакансія від 16 березня 2024",https://www.work.ua/jobs/5559499/,"Повна зайнятість. Також готові взяти студента.
                            Компанія запрошує в свою команду до співпраці Фінансового аналітика Пропонуємо: ОФІЦІЙНЕ ПРАЦЕВЛАШТУВАННЯ. Ставка 35 000 + преміальні (після навчання, якщо відсутній досвід). РОЗГЛЯДАЄМО КАНДИДАТІВ З ДОСВІДОМ І…"
12,"Аналітик фондового ринку, вакансія від 16 березня 2024",https://www.work.ua/jobs/5563201/,"Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана.
                            Національна Інвестиційна компанія запрошує вас приєднатися до своєї команди Відкрито вакансію Аналітик фондового ринку. Компанія об*єднує освіту та трейдинг, професійне зростання. Вам надають менторську підтримку…"
13,"Фінансовий аналітик, вакансія від 15 березня 2024",https://www.work.ua/jobs/5547595/,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            YUKI (Юкі) — це компанія-власник мережі магазинів сімейного шопінгу з власними торговими марками, виробництвом на фабриках Туреччини та України.  Наша місія — бути улюбленим місцем сімейного шопінгу, де заощаджуються…"
