station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_events,n_flags_explained,n_flags_unexplained,explained_share,event_window_share,v,c,n_moves,n_quality_failures
70026027502,TMP,diurnal,9495,1.0832,1.5974,168.24,9,2707,9,0,1.0,0.8486,-0.7255021120245246,234.81642188968118,0,2707
70063727406,TMP,diurnal,13203,1.5062,2.2334,169.16,19,158,2,17,0.1053,0.1144,-1.3178604534337524,451.2605945178416,0,158
70133026616,TMP,diurnal,14696,1.6765,2.6609,181.06,36,56,8,28,0.2222,0.1109,-0.4125650621844551,137.7313514461303,0,56
70174026533,TMP,diurnal,12389,1.4133,2.3166,186.98,7,48,2,5,0.2857,0.1278,-0.8616769402349851,285.94340209095594,0,48
70200026617,TMP,diurnal,16013,1.8267,2.7264,170.26,22,39,1,21,0.0455,0.0441,4.590890244231909,-1680.106969189781,0,39
70219026615,TMP,diurnal,16773,1.9134,3.0535,182.05,21,17,2,19,0.0952,0.0454,0.5922658489953377,-222.47138621217692,0,17
70222026501,TMP,diurnal,11097,1.2659,1.7527,157.94,13,339,0,13,0.0,0.0568,-0.7110952382838929,227.85732911567817,0,339
70231026510,TMP,diurnal,13761,1.5698,2.6942,195.79,18,25,1,17,0.0556,0.038,0.8884714343996902,-352.2417227679469,0,25
70251026528,TMP,diurnal,13832,1.5779,2.7232,196.88,18,27,2,16,0.1111,0.04,-1.57328648058176,567.3384374505696,0,27
70259026523,TMP,diurnal,11124,1.269,1.6661,149.78,8,1,0,8,0.0,0.0055,-0.19027490035854344,63.70618261855917,0,1
70261026411,TMP,diurnal,12525,1.4288,2.1626,172.66,9,105,1,8,0.1111,0.0624,-0.9863668007750134,332.75655948531676,0,105
70267026415,TMP,diurnal,13454,1.5348,2.5216,187.42,19,66,2,17,0.1053,0.0832,0.9918149821682782,-376.9901896925798,0,66
70271026425,TMP,diurnal,13386,1.527,2.6485,197.85,15,2,0,15,0.0,0.0109,-1.0765348647141986,365.7201647291828,0,2
70272026401,TMP,diurnal,10231,1.1671,1.8003,175.97,6,39,2,4,0.3333,0.1027,-0.8310070108310389,291.9499306254464,0,39
70272526491,TMP,diurnal,10950,1.2491,1.7966,164.07,7,4,0,7,0.0,0.0112,0.324109769923839,-128.7652548112314,0,4
70273026451,TMP,diurnal,13258,1.5124,2.3183,174.86,14,13,0,14,0.0,0.0062,0.3482436113142117,-135.48724810523692,0,13
70273526409,TMP,diurnal,10211,1.1648,1.7527,171.65,10,3,0,10,0.0,0.0164,-0.2403327097278143,76.65638863285967,0,3
70291026412,TMP,diurnal,9590,1.094,1.7036,177.64,7,34,1,6,0.1429,0.0524,-0.944862715011159,317.87437957005733,0,34
70296026410,TMP,diurnal,11408,1.3014,2.0652,181.03,7,10,1,6,0.1429,0.0386,-0.1481779770000398,47.77801579435183,0,10
70308025713,TMP,diurnal,17959,2.0487,3.4033,189.5,27,3,1,26,0.037,0.0164,-2.1432303275195106,782.9679330218205,0,3
70316025624,TMP,diurnal,18075,2.0619,3.2486,179.73,24,1,0,24,0.0,0.0055,1.482725678869083,-539.2185120196159,0,1
70326025503,TMP,diurnal,15012,1.7125,2.8964,192.94,22,45,2,20,0.0909,0.0318,-0.742969284102315,275.8306298691086,0,45
70340025506,TMP,diurnal,13302,1.5175,2.7503,206.76,25,86,4,21,0.16,0.0976,0.4961002252623417,-176.7209518308409,0,86
70341025507,TMP,diurnal,10229,1.1669,1.6694,163.2,10,53,1,9,0.1,0.0543,0.8077548222178064,-292.69161221911713,0,53
70350025501,TMP,diurnal,17122,1.9532,3.1816,185.82,27,4,0,27,0.0,0.0058,-0.1485706118899186,59.033667149155306,0,4
70361025339,TMP,diurnal,18295,2.087,3.39,185.3,26,21,4,22,0.1538,0.0664,-2.858626919096,1038.4973024098954,0,21
70371025333,TMP,diurnal,11929,1.3608,2.1109,176.95,18,89,3,15,0.1667,0.1097,-0.2624456207532191,98.22596729494312,0,89
70381025309,TMP,diurnal,13902,1.5859,2.3483,168.92,16,3,1,15,0.0625,0.0164,-0.14069829896278296,46.589320127202804,0,3
70395025325,TMP,diurnal,12022,1.3714,2.0351,169.28,14,183,5,9,0.3571,0.2597,-0.40745531039291416,149.7381046140842,0,183
72201012836,TMP,diurnal,13016,1.4848,2.2922,176.11,14,33,2,12,0.1429,0.0908,0.747061943274431,-248.33276031600568,0,33
