station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
01NA,east,detection,2360,11.4743,0.2721,115.31,0,3,0,3,0,0.0,,0,0.0,0.0573,0.0,0.05950114522020559,-0.9994737720438095
01NA,east,tracking,2360,11.4743,0.8576,363.37,0,3,0,0,0,,,0,0.0,0.0573,0.0,0.034799684875823224,-0.7164908908863872
01NA,north,detection,2360,11.4743,0.2785,118.0,0,3,0,3,0,0.0,,0,0.0,0.0573,0.0,0.0379593372787653,-0.5211192551648213
01NA,north,tracking,2360,11.4743,0.8641,366.12,0,3,0,0,0,,,0,0.0,0.0573,0.0,0.059112471548939054,-0.7627852291585727
01NA,up,detection,2360,11.4743,0.3249,137.66,2,3,0,3,0,0.0,,2,0.1743,0.0573,0.1643,0.05040471832541604,-0.21492679729197575
01NA,up,tracking,2360,11.4743,0.8803,373.03,0,3,0,0,0,,,0,0.0,0.0573,0.0,-0.004305468292086345,0.406499479060285
1LSU,east,detection,8037,23.332,1.0804,134.43,0,16,0,9,0,0.0,,0,0.0,0.1271,0.0,-0.05162499154662876,1.6121497749003681
1LSU,east,tracking,8037,23.332,3.6279,451.4,0,16,0,1,0,0.0,,0,0.0,0.1271,0.0,-0.012557325975642993,0.7020754166370722
1LSU,north,detection,8037,23.332,0.9402,116.98,0,16,0,9,0,0.0,,0,0.0,0.1271,0.0,-0.12091629664327026,3.6223915833088083
1LSU,north,tracking,8037,23.332,3.1146,387.54,0,16,0,1,0,0.0,,0,0.0,0.1271,0.0,-0.0014899633683456586,0.8416439375200376
1LSU,up,detection,8037,23.332,1.01,125.67,2,16,1,9,1,0.1111,8.01,1,0.0429,0.1271,0.0748,0.07817382721094407,-2.4195088312154533
1LSU,up,tracking,8037,23.332,3.2406,403.21,0,16,0,1,0,0.0,,0,0.0,0.1271,0.0,-0.004676505012305738,-0.49700132061975033
1NSU,east,detection,8110,22.5982,1.0147,125.12,1,5,0,5,0,0.0,,1,0.0443,0.0582,0.0417,-0.0014278647365071652,-0.14525170133321827
1NSU,east,tracking,8110,22.5982,3.3725,415.85,0,5,0,1,0,0.0,,0,0.0,0.0582,0.0,-0.012045510344754158,0.09271569740489637
1NSU,north,detection,8110,22.5982,1.1933,147.14,0,5,0,5,0,0.0,,0,0.0,0.0582,0.0,-0.02591996158314997,0.6174224294021597
1NSU,north,tracking,8110,22.5982,3.3231,409.76,0,5,0,1,0,0.0,,0,0.0,0.0582,0.0,-0.0019410078678755928,0.07311541048048852
1NSU,up,detection,8110,22.5982,0.9673,119.27,1,5,0,5,0,0.0,,1,0.0443,0.0582,0.0417,0.06556619677881714,-1.4481815195046417
1NSU,up,tracking,8110,22.5982,3.5752,440.84,0,5,0,1,0,0.0,,0,0.0,0.0582,0.0,-0.0008594301356478896,0.047036407253761355
1ULM,east,detection,8202,23.1896,0.96,117.05,0,5,0,5,0,0.0,,0,0.0,0.0567,0.0,0.005623318689068213,0.13685280507246322
1ULM,east,tracking,8202,23.1896,3.4846,424.85,1,5,0,1,0,0.0,,1,0.0431,0.0567,0.0407,-0.012262723509417033,0.5489525694936425
1ULM,north,detection,8202,23.1896,0.9703,118.3,1,5,0,5,0,0.0,,1,0.0431,0.0567,0.0407,-0.027426040650492773,1.3884943348279202
1ULM,north,tracking,8202,23.1896,3.6961,450.64,0,5,0,1,0,0.0,,0,0.0,0.0567,0.0,-0.0017217197051550017,0.7914670212057642
1ULM,up,detection,8202,23.1896,1.3608,165.91,1,5,0,5,0,0.0,,1,0.0431,0.0567,0.0407,0.07450457668627695,-1.783247643032994
1ULM,up,tracking,8202,23.1896,3.6018,439.13,0,5,0,1,0,0.0,,0,0.0,0.0567,0.0,-0.002413783970725212,-0.006346771880094808
25MA,east,detection,4550,12.9473,0.5438,119.51,0,4,0,4,0,0.0,,0,0.0,0.1015,0.0,0.01845540697546374,-0.7896917868648831
25MA,east,tracking,4550,12.9473,1.8812,413.45,0,4,0,0,0,,,0,0.0,0.1015,0.0,-0.0037896587797004093,-0.5030459373202102
25MA,north,detection,4550,12.9473,0.6459,141.96,0,4,0,4,0,0.0,,0,0.0,0.1015,0.0,-0.0037642310864991935,-0.7011202074781063
25MA,north,tracking,4550,12.9473,1.932,424.61,0,4,0,0,0,,,0,0.0,0.1015,0.0,0.012216374115329165,-0.9056843112585153
