station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
01NA,east,detection,2360,11.4743,0.9691,410.63,0,3,0,3,0,0.0,,0,0.0,0.0573,0.0,0.059501145220155184,-0.9994737720432342
01NA,east,tracking,2360,11.4743,3.419,1448.72,0,3,0,0,0,,,0,0.0,0.0573,0.0,0.03479968486274836,-0.7164908907755273
01NA,north,detection,2360,11.4743,1.4497,614.29,0,3,0,3,0,0.0,,0,0.0,0.0573,0.0,0.03795933727873852,-0.5211192551645168
01NA,north,tracking,2360,11.4743,4.8761,2066.14,0,3,0,0,0,,,0,0.0,0.0573,0.0,0.059112471534082604,-0.7627852290158442
01NA,up,detection,2360,11.4743,1.0958,464.32,2,3,0,3,0,0.0,,2,0.1743,0.0573,0.1643,0.050404718325389765,-0.21492679729167538
01NA,up,tracking,2360,11.4743,3.6761,1557.68,0,3,0,0,0,,,0,0.0,0.0573,0.0,-0.0043054682756368,0.40649947875799747
1LSU,east,detection,8037,23.332,4.1954,522.01,0,16,0,9,0,0.0,,0,0.0,0.1271,0.0,-0.051624991546675,1.612149774901451
1LSU,east,tracking,8037,23.332,15.4934,1927.76,0,16,0,1,0,0.0,,0,0.0,0.1271,0.0,-0.012557325975643038,0.7020754166370735
1LSU,north,detection,8037,23.332,4.7723,593.79,0,16,0,9,0,0.0,,0,0.0,0.1271,0.0,-0.12091629664316646,3.622391583306388
1LSU,north,tracking,8037,23.332,16.3043,2028.65,0,16,0,1,0,0.0,,0,0.0,0.1271,0.0,-0.0014899633683458499,0.8416439375200421
1LSU,up,detection,8037,23.332,3.4667,431.34,2,16,1,9,1,0.1111,8.01,1,0.0429,0.1271,0.0748,0.0781738272112469,-2.419508831222504
1LSU,up,tracking,8037,23.332,15.7107,1954.79,0,16,0,1,0,0.0,,0,0.0,0.1271,0.0,-0.0046765050123055985,-0.49700132061975333
1NSU,east,detection,8110,22.5982,4.08,503.08,1,5,0,5,0,0.0,,1,0.0443,0.0582,0.0417,-0.0014278647365133595,-0.1452517013330787
1NSU,east,tracking,8110,22.5982,15.6622,1931.22,0,5,0,1,0,0.0,,0,0.0,0.0582,0.0,-0.01204551034475421,0.09271569740489738
1NSU,north,detection,8110,22.5982,4.958,611.35,0,5,0,5,0,0.0,,0,0.0,0.0582,0.0,-0.025919961583084013,0.6174224294006726
1NSU,north,tracking,8110,22.5982,15.6894,1934.57,0,5,0,1,0,0.0,,0,0.0,0.0582,0.0,-0.00194100786787559,0.07311541048048847
1NSU,up,detection,8110,22.5982,3.9934,492.4,1,5,0,5,0,0.0,,1,0.0443,0.0582,0.0417,0.06556619677918214,-1.4481815195128664
1NSU,up,tracking,8110,22.5982,17.2979,2132.91,0,5,0,1,0,0.0,,0,0.0,0.0582,0.0,-0.0008594301356479092,0.04703640725376177
1ULM,east,detection,8202,23.1896,3.797,462.93,0,5,0,5,0,0.0,,0,0.0,0.0567,0.0,0.005623318688843062,0.13685280507767278
1ULM,east,tracking,8202,23.1896,16.6613,2031.38,1,5,0,1,0,0.0,,1,0.0431,0.0567,0.0407,-0.012262723509416935,0.5489525694936405
1ULM,north,detection,8202,23.1896,4.9686,605.78,1,5,0,5,0,0.0,,1,0.0431,0.0567,0.0407,-0.027426040650497335,1.3884943348280256
1ULM,north,tracking,8202,23.1896,16.1077,1963.87,0,5,0,1,0,0.0,,0,0.0,0.0567,0.0,-0.0017217197051547682,0.791467021205759
1ULM,up,detection,8202,23.1896,4.8046,585.78,1,5,0,5,0,0.0,,1,0.0431,0.0567,0.0407,0.07450457668619098,-1.7832476430310014
1ULM,up,tracking,8202,23.1896,14.1537,1725.64,0,5,0,1,0,0.0,,0,0.0,0.0567,0.0,-0.0024137839707252047,-0.006346771880094949
25MA,east,detection,4550,12.9473,1.8225,400.54,0,4,0,4,0,0.0,,0,0.0,0.1015,0.0,0.018455406975483413,-0.7896917868651363
25MA,east,tracking,4550,12.9473,8.9871,1975.19,0,4,0,0,0,,,0,0.0,0.1015,0.0,-0.0037896587797002098,-0.5030459373202126
25MA,north,detection,4550,12.9473,2.4956,548.48,0,4,0,4,0,0.0,,0,0.0,0.1015,0.0,-0.003764231086509612,-0.7011202074779735
25MA,north,tracking,4550,12.9473,7.6081,1672.1,0,4,0,0,0,,,0,0.0,0.1015,0.0,0.012216374115329083,-0.9056843112585143
25MA,up,detection,4550,12.9473,2.2203,487.98,0,4,0,4,0,0.0,,0,0.0,0.1015,0.0,-0.03237638396935881,1.3697265613826146
25MA,up,tracking,4550,12.9473,9.214,2025.05,0,4,0,0,0,,,0,0.0,0.1015,0.0,-0.001966888205941997,0.9739319636451885
3ARO,east,detection,4524,12.8761,2.8644,633.15,0,1,0,1,0,0.0,,0,0.0,0.0255,0.0,0.008009506673305047,0.7932823759614899
3ARO,east,tracking,4524,12.8761,7.4637,1649.79,0,1,0,0,0,,,0,0.0,0.0255,0.0,-0.0028652565639181895,0.9321880740729285
3ARO,north,detection,4524,12.8761,2.2644,500.53,0,1,0,1,0,0.0,,0,0.0,0.0255,0.0,0.013173817418820077,-0.5101556834044043
3ARO,north,tracking,4524,12.8761,10.2544,2266.67,0,1,0,0,0,,,0,0.0,0.0255,0.0,0.011403550041759514,-0.4849094883300107
3ARO,up,detection,4524,12.8761,2.4645,544.76,0,1,0,1,0,0.0,,0,0.0,0.0255,0.0,-0.07131290677304908,1.3842097949485241
3ARO,up,tracking,4524,12.8761,8.1952,1811.5,0,1,0,0,0,,,0,0.0,0.0255,0.0,-0.0010604444305273109,0.48219380623238606
7ODM,east,detection,7588,25.3388,4.5232,596.1,2,9,1,9,1,0.1111,10.02,1,0.0395,0.078,0.0728,-0.0028615862142700615,-0.5038899632177929
7ODM,east,tracking,7588,25.3388,14.7816,1948.03,0,9,0,2,0,0.0,,0,0.0,0.078,0.0,-0.02614571719455887,0.08559642308735434
7ODM,north,detection,7588,25.3388,3.7053,488.31,2,9,2,9,2,0.2222,11.51,0,0.0,0.078,0.0728,-0.004011240946725296,1.014941947431645
7ODM,north,tracking,7588,25.3388,14.8424,1956.03,0,9,0,2,0,0.0,,0,0.0,0.078,0.0,0.006079442699494061,0.756554592427321
7ODM,up,detection,7588,25.3388,3.989,525.7,1,9,1,9,1,0.1111,10.02,0,0.0,0.078,0.0364,-0.0036950161889304123,0.16834744063609902
7ODM,up,tracking,7588,25.3388,14.7813,1947.98,0,9,0,2,0,0.0,,0,0.0,0.078,0.0,-0.00025457958743355184,0.08092567373626895
