station,component,config,step_year,step_index,code,magnitude,distance_km,threshold_km,dist_ratio,mag_bin,dist_bin,ratio_bin,reachable,detected,delay_days
01NA,east,detection,2017.3388090349076,1674,1,,,,,none,none,none,True,False,
01NA,east,detection,2017.3388090349076,1674,1,,,,,none,none,none,True,False,
01NA,east,detection,2019.4770704996577,2262,2,7.3,703.652,724.436,0.9713,>=7,>=100,0.5-1,True,False,
01NA,east,tracking,2017.3388090349076,1674,1,,,,,none,none,none,False,False,
01NA,east,tracking,2017.3388090349076,1674,1,,,,,none,none,none,False,False,
01NA,east,tracking,2019.4770704996577,2262,2,7.3,703.652,724.436,0.9713,>=7,>=100,0.5-1,False,False,
01NA,north,detection,2017.3388090349076,1674,1,,,,,none,none,none,True,False,
01NA,north,detection,2017.3388090349076,1674,1,,,,,none,none,none,True,False,
01NA,north,detection,2019.4770704996577,2262,2,7.3,703.652,724.436,0.9713,>=7,>=100,0.5-1,True,False,
01NA,north,tracking,2017.3388090349076,1674,1,,,,,none,none,none,False,False,
01NA,north,tracking,2017.3388090349076,1674,1,,,,,none,none,none,False,False,
01NA,north,tracking,2019.4770704996577,2262,2,7.3,703.652,724.436,0.9713,>=7,>=100,0.5-1,False,False,
01NA,up,detection,2017.3388090349076,1674,1,,,,,none,none,none,True,False,
01NA,up,detection,2017.3388090349076,1674,1,,,,,none,none,none,True,False,
01NA,up,detection,2019.4770704996577,2262,2,7.3,703.652,724.436,0.9713,>=7,>=100,0.5-1,True,False,
01NA,up,tracking,2017.3388090349076,1674,1,,,,,none,none,none,False,False,
01NA,up,tracking,2017.3388090349076,1674,1,,,,,none,none,none,False,False,
01NA,up,tracking,2019.4770704996577,2262,2,7.3,703.652,724.436,0.9713,>=7,>=100,0.5-1,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,detection,2005.6810403832992,780,1,,,,,none,none,none,True,False,
1LSU,east,detection,2006.3572895277207,1022,1,,,,,none,none,none,True,False,
1LSU,east,detection,2008.4681724845996,1792,1,,,,,none,none,none,True,False,
1LSU,east,detection,2008.476386036961,1793,1,,,,,none,none,none,True,False,
1LSU,east,detection,2010.2833675564682,2391,1,,,,,none,none,none,True,False,
1LSU,east,detection,2014.0369609856264,3756,1,,,,,none,none,none,True,False,
1LSU,east,detection,2014.5763175906914,3932,1,,,,,none,none,none,True,False,
1LSU,east,detection,2018.4914442162901,5111,1,,,,,none,none,none,True,False,
1LSU,east,detection,2017.6865160848733,4817,2,8.2,1733.135,2041.738,0.8489,>=7,>=100,0.5-1,True,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2005.6810403832992,780,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2006.3572895277207,1022,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2008.4681724845996,1792,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2008.476386036961,1793,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2010.2833675564682,2391,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2014.0369609856264,3756,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2014.5763175906914,3932,1,,,,,none,none,none,False,False,
1LSU,east,tracking,2018.4914442162901,5111,1,,,,,none,none,none,True,False,
1LSU,east,tracking,2017.6865160848733,4817,2,8.2,1733.135,2041.738,0.8489,>=7,>=100,0.5-1,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,detection,2005.6810403832992,780,1,,,,,none,none,none,True,False,
1LSU,north,detection,2006.3572895277207,1022,1,,,,,none,none,none,True,False,
1LSU,north,detection,2008.4681724845996,1792,1,,,,,none,none,none,True,False,
1LSU,north,detection,2008.476386036961,1793,1,,,,,none,none,none,True,False,
1LSU,north,detection,2010.2833675564682,2391,1,,,,,none,none,none,True,False,
1LSU,north,detection,2014.0369609856264,3756,1,,,,,none,none,none,True,False,
1LSU,north,detection,2014.5763175906914,3932,1,,,,,none,none,none,True,False,
1LSU,north,detection,2018.4914442162901,5111,1,,,,,none,none,none,True,False,
1LSU,north,detection,2017.6865160848733,4817,2,8.2,1733.135,2041.738,0.8489,>=7,>=100,0.5-1,True,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2005.6810403832992,780,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2006.3572895277207,1022,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2008.4681724845996,1792,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2008.476386036961,1793,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2010.2833675564682,2391,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2014.0369609856264,3756,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2014.5763175906914,3932,1,,,,,none,none,none,False,False,
1LSU,north,tracking,2018.4914442162901,5111,1,,,,,none,none,none,True,False,
1LSU,north,tracking,2017.6865160848733,4817,2,8.2,1733.135,2041.738,0.8489,>=7,>=100,0.5-1,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,detection,2005.6810403832992,780,1,,,,,none,none,none,True,False,
1LSU,up,detection,2006.3572895277207,1022,1,,,,,none,none,none,True,False,
1LSU,up,detection,2008.4681724845996,1792,1,,,,,none,none,none,True,True,8.01
1LSU,up,detection,2008.476386036961,1793,1,,,,,none,none,none,True,False,
1LSU,up,detection,2010.2833675564682,2391,1,,,,,none,none,none,True,False,
1LSU,up,detection,2014.0369609856264,3756,1,,,,,none,none,none,True,False,
1LSU,up,detection,2014.5763175906914,3932,1,,,,,none,none,none,True,False,
1LSU,up,detection,2018.4914442162901,5111,1,,,,,none,none,none,True,False,
1LSU,up,detection,2017.6865160848733,4817,2,8.2,1733.135,2041.738,0.8489,>=7,>=100,0.5-1,True,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2003.7672826830938,150,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2005.6810403832992,780,1,,,,,none,none,none,False,False,
1LSU,up,tracking,2006.3572895277207,1022,1,,,,,none,none,none,False,False,
