dataset,backend,order,channels,days,samples,repeats,seconds,elements_per_second,gather_seconds,note
isd,numpy,16,95,1,2280,5,5.9362995671108365e-05,38407765.2,9.765,"500 files, 1 days, 95 qualified; the Gram stays on the host"
isd,cupy,16,95,1,2280,5,0.00022915498993825167,9949597.9,9.765,"500 files, 1 days, 95 qualified; the Gram stays on the host"
isd,numpy,16,661,7,15864,5,7.519299106206745e-05,210977110.7,7.841,"500 files, 7 days, 661 qualified; the Gram stays on the host"
isd,cupy,16,661,7,15864,5,0.00025867999647744,61326736.6,7.841,"500 files, 7 days, 661 qualified; the Gram stays on the host"
isd,numpy,16,2808,30,67392,5,0.0001467880210839212,459111033.1,7.813,"500 files, 30 days, 2808 qualified; the Gram stays on the host"
isd,cupy,16,2808,30,67392,5,0.0007774149999022484,86687290.6,7.813,"500 files, 30 days, 2808 qualified; the Gram stays on the host"
isd,numpy,16,846,1,20304,5,8.06929892860353e-05,251620372.2,135.704,"5000 files, 1 days, 846 qualified; the Gram stays on the host"
isd,cupy,16,846,1,20304,5,0.0004899990162812173,41436817.9,135.704,"5000 files, 1 days, 846 qualified; the Gram stays on the host"
isd,numpy,16,5865,7,140760,5,0.00024385302094742656,577232955.5,80.477,"5000 files, 7 days, 5865 qualified; the Gram stays on the host"
isd,cupy,16,5865,7,140760,5,0.0012583869975060225,111857481.3,80.477,"5000 files, 7 days, 5865 qualified; the Gram stays on the host"
isd,numpy,16,25058,30,601392,5,0.002976696996483952,202033327.8,78.548,"5000 files, 30 days, 25058 qualified; the Gram stays on the host"
isd,cupy,16,25058,30,601392,5,0.004043650988023728,148725001.7,78.548,"5000 files, 30 days, 25058 qualified; the Gram stays on the host"
isd,numpy,16,3116,1,74784,5,0.0001622179988771677,461009262.3,481.652,"13345 files, 1 days, 3116 qualified; the Gram stays on the host"
isd,cupy,16,3116,1,74784,5,0.0009105869976337999,82127243.4,481.652,"13345 files, 1 days, 3116 qualified; the Gram stays on the host"
isd,numpy,16,22288,7,534912,5,0.0008001480018720031,668516322.9,514.061,"13345 files, 7 days, 22288 qualified; the Gram stays on the host"
isd,cupy,16,22288,7,534912,5,0.0035694230173248798,149859514.4,514.061,"13345 files, 7 days, 22288 qualified; the Gram stays on the host"
isd,numpy,16,94375,30,2265000,5,0.009487799979979172,238727629.7,535.842,"13345 files, 30 days, 94375 qualified; the Gram stays on the host"
isd,cupy,16,94375,30,2265000,5,0.015427598002133891,146814818.5,535.842,"13345 files, 30 days, 94375 qualified; the Gram stays on the host"
