station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
70026027502,2024,TMP,9495,24,1.4734767103042362e-13,2.2255094485259953e-13,101.61176808746514,1027.186994849026,2.616056446845532e-13,1,ok,a2,17.270013982887527,17.270013982887587
70063727406,2024,TMP,13203,24,2.0572543780728264e-13,2.2255094485259953e-13,55.26703051740226,989.9687806988533,2.290270885109937e-13,7,ok,b2,17.78651175928566,17.78651175928577
70133026616,2024,TMP,14696,24,2.0035235447824425e-13,2.2255094485259953e-13,57.013409323633034,933.814899102009,4.2888240291380286e-12,7,ok,b2,13.680545102500458,13.680545102500439
70174026533,2024,TMP,12389,24,3.3345085055088037e-13,2.2255094485259953e-13,49.75813910058102,948.0180002620525,6.23015067969781e-13,5,ok,b2,19.49126935427235,19.49126935427235
70200026617,2024,TMP,16013,24,4.0064036627495626e-13,2.2255094485259953e-13,60.745753776236555,916.8641775802913,2.656656926993374e-13,7,ok,c,10.602310880055889,10.60231088005589
70219026615,2024,TMP,16773,24,2.061011911326578e-12,2.2255094485259953e-13,56.93294582473797,967.5096436286483,4.029722589684794e-13,7,ok,b2,11.30010208101257,11.300102081012502
70222026501,2024,TMP,11097,24,7.02016785100443e-13,2.2255094485259953e-13,4802.842048220836,1008.3576329434507,1.5176566303087724e-12,4,ok,a2,17.56587315010666,17.56587315010656
70231026510,2024,TMP,13761,24,6.70573184608857e-14,2.2255094485259953e-13,50.937568862245406,966.5762827247864,7.698380035653002e-13,7,ok,b2,17.236720426888358,17.23672042688835
70251026528,2024,TMP,13832,24,1.1237231452375948e-12,2.2255094485259953e-13,51.48522867738757,961.1406478059404,5.313854443477254e-13,8,ok,c,11.694693743265868,11.694693743265828
70259026523,2024,TMP,11124,24,3.0145074222796265e-13,2.2255094485259953e-13,51.136048353481534,950.6340487795005,5.255548204677215e-12,7,ok,b2,10.364587603330722,10.364587603330682
70261026411,2024,TMP,12525,24,5.944246768684076e-14,2.2255094485259953e-13,49.174794459181854,938.6071364340816,5.6656471952719966e-12,8,ok,a2,20.2715355390967,20.271535539096696
70267026415,2024,TMP,13454,24,4.0830389494630346e-13,2.2255094485259953e-13,50.06194893988019,952.7805374106389,2.2915515529423933e-12,7,ok,a2,17.352978228670015,17.352978228670022
70271026425,2024,TMP,13386,24,1.151559404612882e-13,2.2255094485259953e-13,50.34709493186485,897.2165490513157,8.863910001579929e-13,8,ok,b1,17.020780615202828,17.0207806152028
70272026401,2024,TMP,10231,24,8.233292481491779e-13,2.2255094485259953e-13,50.171962601762985,929.9544059126947,1.7301186937045886e-12,5,ok,c,12.247933724829675,12.247933724829672
70272526491,2024,TMP,10950,24,3.48954838151811e-13,2.2255094485259953e-13,51.93065674815555,906.7893796464273,3.3099273755302796e-12,8,ok,c,11.87743198272935,11.877431982729341
70273026451,2024,TMP,13258,24,2.5856509574527204e-13,2.2255094485259953e-13,50.30993498318942,917.8176313325157,1.3524399278442519e-12,8,ok,a2,11.645810075510356,11.64581007551034
70273526409,2024,TMP,10211,24,4.254456684525506e-13,2.2255094485259953e-13,50.49992574679613,922.5442037574787,1.836808217487497e-12,7,ok,c,12.312692959972535,12.312692959972527
70291026412,2024,TMP,9590,24,3.275451198432816e-13,2.2255094485259953e-13,99.02071172993227,943.3521809207243,1.3192769815593616e-12,7,ok,b2,20.159267380797072,20.159267380797075
70296026410,2024,TMP,11408,24,1.4202865813508991e-12,2.2255094485259953e-13,1708362.245127731,1356.1332312654915,5.898425789332611e-13,8,ok,a2,8.88135959638826,8.881359596389562
70308025713,2024,TMP,17959,24,4.526435618838293e-14,2.2255094485259953e-13,63.22459079944337,974.1953520273063,9.126809863160374e-13,6,ok,a2,5.215113889426969,5.215113889426975
70316025624,2024,TMP,18075,24,7.452507416715808e-14,2.2255094485259953e-13,59.67643975938169,937.5532305949423,1.7952570198645038e-12,7,ok,b2,5.539453372597879,5.539453372597891
70326025503,2024,TMP,15012,24,2.0317808685396554e-13,2.2255094485259953e-13,52.54260200991628,954.8446489090654,3.4578555429800403e-12,7,ok,c,8.252245238925932,8.25224523892589
70340025506,2024,TMP,13302,24,8.003075867036213e-13,2.2255094485259953e-13,65.52039523424256,994.5608012409233,2.248527468697575e-12,8,ok,c,9.25821160533957,9.258211605339492
70341025507,2024,TMP,10229,24,2.2133413605522677e-13,2.2255094485259953e-13,52.55965662036254,947.3098795427674,2.037069820442606e-12,8,ok,b2,7.945271668565003,7.945271668564973
70350025501,2024,TMP,17122,24,9.672661032804252e-14,2.2255094485259953e-13,51.505140541916774,899.5863212307216,4.0720462567163524e-12,8,ok,b2,5.636936801286938,5.636936801286908
70361025339,2024,TMP,18295,24,6.85717052537021e-14,2.2255094485259953e-13,59.65416810153638,933.564348566095,5.198616441461676e-12,3,ok,b2,6.555854830158929,6.555854830158925
70371025333,2024,TMP,11929,24,1.1048949128854053e-13,2.2255094485259953e-13,55.62781858771578,966.1653338579696,5.759345449930143e-13,7,ok,a2,5.3122584262271895,5.312258426227186
70381025309,2024,TMP,13902,24,9.567722242798083e-14,2.2255094485259953e-13,50.525991094105606,905.5329629466165,1.843363261813109e-12,8,ok,a2,7.7438469951318,7.743846995131809
70395025325,2024,TMP,12022,24,5.054441871071361e-14,2.2255094485259953e-13,51.88981956782331,952.6164088871215,4.359199171221119e-13,8,ok,a2,6.0443178699207945,6.044317869920796
72201012836,2024,TMP,13016,24,1.210814115851733e-13,2.2255094485259953e-13,50.75681671045559,916.3688679197992,9.618611366343415e-14,8,ok,b2,4.508235672634632,4.508235672634627
72201512850,2024,TMP,10330,24,3.9983743633226946e-14,2.2255094485259953e-13,51.90179764562168,949.0550011805367,1.5717025564209856e-13,7,ok,b2,4.829925535263762,4.829925535263761
72202012839,2024,TMP,12734,24,1.9431862696154017e-13,2.2255094485259953e-13,50.48716395936003,936.373489322573,1.8131779514090157e-13,8,ok,b2,4.150321511864895,4.150321511864889
72202612826,2024,TMP,14275,24,1.7113439180417053e-13,2.2255094485259953e-13,78.85279413281192,918.9320265953235,1.569883066217051e-13,3,ok,b2,3.861411951723113,3.861411951723103
72202912888,2024,TMP,10651,24,1.3527140294480596e-13,2.2255094485259953e-13,57.312868753784265,895.717241723178,2.0964499356529559e-13,8,ok,b2,4.3860377118694505,4.386037711869416
