station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
70026027502,2024,TMP,366,9495,2707,432,5,231,125,31616,539072,142648,6746378,596968,0.322,
70063727406,2024,TMP,366,13203,158,512,5,364,2,49704,846568,203160,7850067,914520,0.207,
70133026616,2024,TMP,366,14696,56,484,49,363,3,49568,844256,234712,8296187,925706,0.185,
70174026533,2024,TMP,366,12389,48,379,24,365,1,49840,848880,197152,7507837,908166,0.169,
70200026617,2024,TMP,366,16013,39,382,74,364,2,49704,846568,255408,9207822,939301,0.189,
70219026615,2024,TMP,366,16773,17,452,80,366,0,49976,851192,268368,9625526,950844,0.196,
70222026501,2024,TMP,366,11097,339,366,2,360,3,49160,837320,155568,6264345,863308,0.169,
70231026510,2024,TMP,366,13761,25,5132,2157,360,6,49160,837320,219720,9686966,910900,0.204,
70251026528,2024,TMP,366,13832,27,393,18,362,4,49432,841944,220400,7687240,912770,0.357,
70259026523,2024,TMP,366,11124,1,383,0,366,0,49976,851192,147840,6401477,864507,0.163,
70261026411,2024,TMP,366,12525,105,391,10,366,0,49976,851192,199632,7969621,909813,0.174,
70267026415,2024,TMP,366,13454,65,391,18,366,0,49976,851192,214312,8071766,919130,0.176,
70271026425,2024,TMP,366,13386,2,381,16,365,1,49840,848880,211944,7300778,913934,0.168,
70272026401,2024,TMP,366,10231,39,215,1,360,6,49160,837320,146048,5588846,862606,0.152,
70272526491,2024,TMP,366,10950,4,411,3,364,2,49704,846568,139096,6408271,848703,0.157,
70273026451,2024,TMP,366,13258,13,364,37,365,1,49840,848880,211040,8299928,913946,0.171,
70273526409,2024,TMP,366,10211,3,356,3,364,2,49704,846568,131648,5905069,848594,0.322,
70291026412,2024,TMP,366,9590,34,654,1,336,20,45896,781832,117968,5576376,777381,0.141,
70296026410,2024,TMP,366,11408,10,1765,0,312,11,42632,726344,169584,7687018,774954,0.152,
70308025713,2024,TMP,366,17959,3,376,6,361,5,49296,839632,285744,10581033,958573,0.199,
70316025624,2024,TMP,366,18075,1,611,59,358,3,48888,832696,288968,10757666,947861,0.195,
70326025503,2024,TMP,366,15012,45,496,22,361,5,49296,839632,239064,8599450,923180,0.191,
70340025506,2024,TMP,366,13302,85,370,24,359,6,49024,835008,211264,7730921,903711,0.164,
70341025507,2024,TMP,366,10229,53,365,0,354,12,48344,823448,132640,5955069,829161,0.149,
70350025501,2024,TMP,366,17122,4,402,60,366,0,49976,851192,273184,9817202,952705,0.349,
70361025339,2024,TMP,366,18295,21,390,60,361,5,49296,839632,292008,10236596,954321,0.205,
70371025333,2024,TMP,366,11929,89,382,2,365,1,49840,848880,174312,7334237,891027,0.168,
70381025309,2024,TMP,366,13902,3,499,26,365,1,49840,848880,221720,8776692,922682,0.195,
70395025325,2024,TMP,366,12022,183,495,3,355,11,48480,825760,190872,7364696,893807,0.165,
72201012836,2024,TMP,366,13016,33,1242,33,360,6,49160,837320,206488,7950451,904381,0.16,
72201512850,2024,TMP,366,10330,1,665,7,353,13,48208,821136,162760,6174963,872059,0.144,
72202012839,2024,TMP,366,12734,9,358,6,366,0,49976,851192,202592,7869256,911125,0.161,
72202612826,2024,TMP,366,14275,96,283,11,355,10,48480,825760,222224,7217877,903502,0.332,
72202912888,2024,TMP,366,10651,5,533,2,351,11,47936,816512,151072,6379079,845075,0.176,
