station,year,field,n,order,days,a1,a2,b1,b2,c,v,annual_amp,annual_phase_day,semi_amp,semi_phase_day,rss,bic,error
01001099999,2024,TMP,6039,24,366,-4.4982877631784355,0.8098167947594264,-2.7868141790876124,1.5158518742871303,0.31410394002284536,0.0023468612394072497,5.291590126712822,214.86781363477888,1.7186070364845587,31.394979765028136,53209.81923774561,13193.127235186274,
01001499999,2024,TMP,6685,24,366,-6.617825870843149,-0.4137901675073426,-1.4014861102296925,0.06935053582415925,8.346001127155949,0.0076778396018689216,6.764597739257497,194.7564905010664,0.41956143715176286,86.48599959629651,83721.89522223776,16950.08118752396,
01002099999,2024,TMP,1356,24,366,-7.324687071186268,1.8132675070347357,-5.930225574916121,1.6009000672141056,-4.915821019800166,0.005116731350154627,9.424362899432115,222.1880501163405,2.4188468486603476,21.022513588578896,33505.66420310704,4392.203494913831,
01003099999,2024,TMP,3707,24,366,-6.219777260263562,1.0835035476231323,-5.089172731682535,1.1355767412265083,-2.729887258983508,0.00336252575397554,8.036498507446684,222.48885570453098,1.5695586873151732,23.510058241732533,60984.109081573,10430.355079080924,
01006099999,2024,TMP,1422,24,366,-7.240189604176981,1.2626978473856716,-4.544499847240948,2.575071822451108,-7.855648249610271,0.0204245135077328,8.548264406650361,215.20889485762558,2.8679959457039126,32.40516933309414,34835.722068576135,4591.9382914053485,
01007099999,2024,TMP,2834,24,366,-7.7577362426169865,1.5393292468075586,-4.900221105423764,1.0204479988371113,-2.4430727007469546,0.0014063054041133366,9.175763646261471,215.37453509735923,1.8468483014064232,17.015113821600377,55356.263299813494,8470.629964071008,
01008099999,2024,TMP,19003,24,366,-8.675014826894731,1.9711988761371013,-5.205624873493425,1.6115672707359914,-3.139746975603974,0.005647474117652318,10.117035760062176,214.0433462705936,2.546129234228228,19.920305390607247,458188.00656666234,60539.63409055194,
01009099999,2024,TMP,1418,24,366,-6.105270000721437,0.7355699488910205,-5.2893477657964025,1.9964740503588698,-7.53295267234728,0.014266128189191297,8.077841392924507,224.12579351532207,2.1276681563316893,35.39600281844798,49015.556899593204,5067.360472077503,
01010099999,2024,TMP,19900,24,366,-6.985846841181434,0.6648334476416059,-2.617094832293745,1.7305569023248304,3.836646613293759,0.009799826452931863,7.459975968437381,203.46186709059432,1.8538691176259279,34.99529576471618,207347.11257036251,46698.513986614445,
01011099999,2024,TMP,1393,24,366,-7.083147500524057,0.6927744652609016,-5.7275288935275945,1.549361246839572,-7.231343430133985,0.007633997147233146,9.109092476222514,222.15263149568023,1.6971908357417564,33.43502802701985,40070.290462667195,4722.766731679091,
01015099999,2024,TMP,7529,24,366,-7.3385261179296055,0.598643428976437,-3.3982184356928875,1.5163137979795611,4.066714099084746,0.008878637094655957,8.087141282320841,207.83458340541873,1.6302090323022589,34.72705874396729,82140.99728350679,18045.42232199369,
01016099999,2024,TMP,1424,24,366,-6.877614459335733,0.9732717169435658,-4.827139521651968,1.7555038419423157,-8.636241887854958,0.019027939370858157,8.402550601618437,218.19992022051522,2.007249753786635,30.942511401833723,36809.44439860031,4674.820678658973,
01017099999,2024,TMP,1439,24,366,-7.183308852921493,1.800243738991048,-5.761959513298885,1.2337616107642009,-4.076325859484044,0.007740163957207412,9.208697166774234,221.92407757898562,2.1824402012362087,17.46301991543712,33115.15204286006,4556.395401873686,
01020099999,2024,TMP,1311,24,366,-5.507659446918189,0.8206052585724398,-4.614365095756454,1.506736710751311,-4.507725233572577,0.010813045266049363,7.185170688310936,223.16426854670465,1.715706416005495,31.16100949095631,24261.979580829902,3868.7269782784333,
01023099999,2024,TMP,25089,24,366,-12.31176729372873,0.3552412811029017,-1.241470852568119,2.219822649082705,-1.0025696748213644,0.023901339986138512,12.374201540814852,188.46699220819042,2.248067828420706,41.043938970426616,982753.6247802156,92085.45052603149,
01023199999,2024,TMP,11970,24,366,-3.577681174289362,1.293869860329959,-3.611552836394515,-0.18507864082717182,11.642495065374533,-0.016291113695615422,5.083612541779101,228.55513044884222,1.3070399071033374,178.49538143156607,71966.8004847433,21528.143575845046,
01025099999,2024,TMP,24978,24,366,-8.194069188233145,0.7376690045367726,-2.9194512475794947,1.8053322317342102,3.0265317104642397,0.010236727536043166,8.698618594268016,202.52137504822275,1.9502256349439921,34.381589346593444,343578.89606743096,65538.616503099,
01026099999,2024,TMP,8393,24,366,-8.475035598220298,0.8543235160758244,-2.702534473667828,1.9535852037220722,2.9803805266855266,0.010600140997027503,8.895500040608416,200.5694636307846,2.132220396282235,33.67388455119807,123342.93515009806,22610.99047385747,
01027099999,2024,TMP,4913,24,366,-8.304984790674801,0.6566556815386505,-2.772197782847289,1.9211675864783064,3.2349541683526866,0.01118913769203201,8.75544704287355,201.35316490098074,2.030291008558101,36.0834309246048,67803.3812389748,12946.283120598475,
01028099999,2024,TMP,3084,24,366,-5.325013365085915,0.6084792462319351,-4.335637159368933,1.6983996270513853,-0.41230243609534956,0.006161673056316291,6.866841844403025,222.34852868516364,1.8041087235150959,35.65708095419256,39042.54487778702,7876.705023993664,
01030099999,2024,TMP,5456,24,366,-9.788732437207823,0.9361190383620922,-1.663455196620977,1.3173546817459427,-1.3346379054049018,0.007719453583356392,9.929066719405704,192.41011364699094,1.6160885531127067,27.699242171272548,83915.47122972319,14963.388110017613,
01033099999,2024,TMP,8374,24,366,-6.346244257520885,0.47954807088606005,-3.1550158603414835,2.000792646421672,4.725000939652692,0.006835470188244277,7.087237914386896,209.4446246568657,2.0574590071895913,38.81879831153192,81741.93556002292,19133.816112683526,
01035099999,2024,TMP,1547,24,366,-9.23593364105216,1.4507181152744115,-3.317368842765212,2.2966424355026382,-0.467599633874201,0.010955922599946835,9.813633693024638,202.67043475110367,2.716459005127232,29.28121102266601,30014.34283826068,4631.472938897259,
01037099999,2024,TMP,8375,24,366,-10.26028786817354,0.7555957776793383,-2.289765891951772,2.1046456104568487,1.45736261375845,0.01752691781362728,10.512684480080948,195.38889009149977,2.2361704149867747,35.63784157206671,214039.12317422614,27196.800353710623,
01042099999,2024,TMP,1250,24,366,-6.942136195138063,2.2954698334585677,-0.8417853172494649,3.5373181410209575,-3.9127050932543703,0.03718900321109686,6.9929863057339645,189.6396092754944,4.216847327935204,28.925402709284977,18588.475527099272,3417.0331955557776,
01043099999,2024,TMP,1406,24,366,-7.948308957922478,0.7737777094819281,-3.929106258071413,2.1189998989301064,3.147356599193177,0.009488195670022482,8.866424943448552,209.3132866830061,2.255857379214586,35.47984740035378,18985.52834899824,3703.2081154219045,
01044099999,2024,TMP,16515,24,366,-7.477441198378688,1.0123232154036979,-3.8733383788290463,2.0791891508624043,4.128741606127661,0.006284715380681099,8.421097141829023,210.40865503419823,2.312536662954602,32.48660638964728,182921.22198721915,39773.32152995382,
01045099999,2024,TMP,8396,24,366,-8.866290668646863,0.8330770092144251,-3.103246427197922,2.241468364105714,2.526267214485782,0.013721311623668029,9.393681312927914,202.1966204425187,2.3912753355831686,35.31339682094623,135736.4168706015,23419.94095861759,
01046099999,2024,TMP,23850,24,366,-9.726746561358656,0.7138376183430499,-2.447277880475171,2.3878118184522727,1.2822693586025,0.01822753101416314,10.029893702984369,196.95360452177462,2.4922298099697846,37.21285543780648,515998.2571161284,73382.98945243903,
01047099999,2024,TMP,2032,24,366,-14.477574735355214,0.7558549969181321,-0.997997724791284,2.6933258020656714,-5.628438364314007,0.036513569337602976,14.511931976014916,186.6258990739645,2.7973774597717056,37.70382149717267,92792.53719616593,7810.675094285395,
01049099999,2024,TMP,19539,24,366,-11.23083128988269,0.8410396337173941,-2.2701366192964625,2.604955655723058,-0.562902409405202,0.024541436462543975,11.457970663781563,194.21911966968082,2.7373603405045226,36.5791455631229,488935.73275797314,62971.31637304132,
01052099999,2024,TMP,25028,24,366,-8.437418342900658,1.1560601087541003,-4.18479791008191,2.3564166152733894,2.8856118977210254,0.008136387903632697,9.418203748132784,209.39024691475183,2.6247236501752025,32.39939448565432,392659.7207223716,68961.55375434941,
01055099999,2024,TMP,2240,24,366,-6.045426679967022,0.02346154561757606,-3.8413190091073135,2.412786837312909,3.5670118453805664,0.006326840096304291,7.1626053550775985,215.5302178932009,2.412900902737863,45.373629059204866,20580.768006356357,5014.339234405219,
01057099999,2024,TMP,848,24,366,-14.475260999755044,0.8612807376447081,-1.2983691194325087,2.8419274280198836,-4.7012510774748915,0.03167174276292463,14.53337343431749,187.82521729466305,2.969571688841595,37.10327604952823,39075.41698862885,3288.6095097275083,
01058099999,2024,TMP,8362,24,366,-13.001924139352795,0.978426150169355,-2.093844087736206,2.632933952779281,-4.775167443422128,0.027602824720349188,13.16944244792591,191.9068434053316,2.80885366849773,35.314805288345696,347227.3957018948,31213.360903764995,
01059099999,2024,TMP,25003,24,366,-11.197298968488557,0.3502961649045066,-2.1973353553826653,2.9042535261440023,-1.5542504716041563,0.026777547547330808,11.41086266912934,193.88943771768325,2.9253027103646345,42.16735140936822,753824.4105791845,85225.07014759627,
01062099999,2024,TMP,5458,24,366,-5.565259307054803,0.6062962290598298,-4.573016571833022,1.66102225297917,-4.5780709523417915,0.013559357554091302,7.20309598166091,222.60994193067359,1.7682166276404505,35.48363902770693,97158.99711832427,15766.664818182235,
01065099999,2024,TMP,8045,24,366,-14.56511666389292,0.11833021345938342,-0.2618333089906067,3.184676371159452,-6.7449192904646385,0.040192562223905784,14.56746992838867,183.6698994650185,3.1868739586683814,44.576779040130255,465430.0117412348,32699.850463313654,
01068099999,2024,TMP,16813,24,366,-6.9621626653245,0.6204427790917283,-4.176811977806182,2.200969361103063,2.9457971231237137,0.008493741024397842,8.118957277654781,214.03732978985173,2.2867477715396363,37.67001236513565,172968.67277884387,39248.77796791059,
01074099999,2024,TMP,16485,24,366,-7.729792291711167,0.8810616888497229,-4.806265920339931,2.670022445201966,2.411295208475802,0.007996443025452342,9.102190998326634,214.96252354630653,2.8116346770946277,36.392086933706864,241083.0322768227,44282.41462230687,
01076099999,2024,TMP,8374,24,366,-11.310687869610025,0.23108879041644262,-3.139167899874338,2.820897911245912,-2.2761771761885674,0.022853196424098117,11.738229644513895,198.36266932952276,2.830347514834121,43.28048665724171,306359.1740637677,30197.46977901109,
01078099999,2024,TMP,2991,24,366,-6.485920800694995,0.33167340562899017,-4.690647999994157,2.2694889991120646,2.702260889596314,0.006707538390620494,8.004333032347992,219.02280004560768,2.2935970799362764,41.438321082243455,33201.55598979997,7247.324164707879,
01082099999,2024,TMP,7403,24,366,-13.766582683736143,-0.07633748382951025,-2.079682634693118,2.826408906832741,-3.3069013151120594,0.028668289114641744,13.922782719312542,191.34085031843063,2.8274396050244595,46.44108369603968,350245.24288006977,28604.965357450277,
01083099999,2024,TMP,16839,24,366,-7.252102311546092,0.3945614896441511,-4.705468704219357,2.5249552274972817,2.4449251834840826,0.007233658336947135,8.644907383166112,216.08311896291855,2.5555973215622334,41.150747205034534,228858.48618696036,43998.18011760514,
01084099999,2024,TMP,5891,24,366,-12.860552510733857,-0.24987749662945197,-2.316232298588466,3.0495739029853457,-3.15614171175255,0.02744618777332647,13.06746888048207,192.98361713150274,3.059794070373213,48.03253880281223,245406.97749871254,22022.525651165633,
01086099999,2024,TMP,16847,24,366,-8.906097628307139,0.8358279029867538,-4.451078093154194,3.1744301730521856,0.2508882720596155,0.011946222623915662,9.956438678377687,209.56716672566995,3.2826232203826504,38.1730969442612,279017.4022511312,47349.63144973399,
01087699999,2024,TMP,16355,24,366,-4.485525856818606,0.5458090916068385,-1.9218823492981811,1.2152189220213074,6.3752430715040775,0.0047183702733124,4.879915365734552,206.15658335225825,1.3321653774660678,33.38639772792774,90881.49354815883,28107.41045230693,
01087799999,2024,TMP,16598,24,366,-4.368108773421936,0.19930905596676346,-1.8061573206984647,0.289953203433266,7.910001688987184,0.0064382011540267126,4.726793683202001,205.41707784408723,0.3518479216530565,28.152662778335742,103742.5402103655,30476.295774273745,
01087899999,2024,TMP,16521,24,366,-3.590681638461865,0.33689388359222966,-1.4978760327747087,0.5181750953560812,7.993819603592701,0.005380934850936575,3.8905818637252816,205.59899410078546,0.6180638464181015,28.9003600070718,85962.24102973925,27305.960529276905,
01087999999,2024,TMP,16638,24,366,-3.636077822175332,0.27033760582953864,-1.4813917497433833,0.430041788265702,7.939924241254674,0.005474883858941928,3.9262683867921035,205.1149712807048,0.5079550775220284,29.344417216345683,81584.5217250992,26511.910147394134,
