direction,block_years,station,field,n_blocks,samples,bytes_header,bytes_payload,n_flags,digest,mismatched
pi->pc,1.0,00NA,east,11,3185,62334,16016,0,faadeb9c803c4368bdf7bd69a22ea7cd9abe01cf5ffad913737b6a9ee8132400,0
pi->pc,1.0,00NA,north,11,3185,62380,16016,0,b5c85bd947cc8444cf11ec7b74fa28fe68ee5c96c31289a77d3daaa3acbaced1,0
pi->pc,1.0,00NA,up,11,3185,62346,16016,0,94b48b101fc3b64fbd497977dcccea54357993aef5268790807ea12521701e4e,0
pi->pc,1.0,01NA,east,10,2360,47552,14560,0,9026673f2432358e1e01672acbaf5b0704cad64f2717fa6bba229dcc5d4b68d2,0
pi->pc,1.0,01NA,north,10,2360,47560,14560,0,9e4cdb87b111d1047820febaac6ada1a0f8506b7cb7510a3aec08cc78764c73e,0
pi->pc,1.0,01NA,up,10,2360,47538,14560,0,77f9337df3baae04545d9836a80d0486ce06c4965853ff5181881ba117275bad,0
pi->pc,1.0,02NA,east,7,1903,38054,10192,0,4771222ef887100b6d2b69e41a8948004da3c1a939d9cc39ed2ced956a583f43,0
pi->pc,1.0,02NA,north,7,1903,38059,10192,0,bfde81f46000dbd306076a9b56356dd629a6be69e2e4ee87559413bb380b10f6,0
pi->pc,1.0,02NA,up,7,1903,38037,10192,0,54614e1eb0a3a06faaa0709c5b2cff32a3a750e9ca5116253188e7e4bfe7f3b5,0
pi->pc,1.0,0ABI,east,18,6078,119028,26208,0,e005a8101d55a4a0503fcd6176d197072fdb0a1f1deba241811b3845942ebdb0,0
pi->pc,1.0,0ABI,north,18,6078,119079,26208,0,06915641940134aee46226b8b5ac5cd87aeca56f41ecff651f3158899efad51c,0
pi->pc,1.0,0ABI,up,18,6078,119057,26208,0,2c466cde4e8514ed8d21f8b467c196d31420c31801ab95fbdd6d6135a8fe1f15,0
pi->pc,1.0,0ABN,east,4,1206,24262,5824,0,6a432d62337f3260ef697cacde73e2b82f2770883444ea42b7397465d5ea2509,0
pi->pc,1.0,0ABN,north,4,1206,24265,5824,0,534c8ec232ecad81f81afb32d44106a1afc324ec815f4595454cc676f604b0ce,0
pi->pc,1.0,0ABN,up,4,1206,24257,5824,0,1238ef6915682cfc2e93c799b69c274d81d53b1c142688df47c2aa5803b1bb18,0
pi->pc,1.0,0ABY,east,12,4114,80051,17472,0,36bc75591ea1cd0ad7c7e4ffbba8bfc17424a423a5a20ea36714f423c3b63b98,0
pi->pc,1.0,0ABY,north,12,4114,80023,17472,0,667b6147338951c637341163c871c1925282db34202c00e1bbe8e002ab82d033,0
pi->pc,1.0,0ABY,up,12,4114,80020,17472,0,47d75cee84bc6e9400f5ab3fcd6ba25512d1e25b38d1e9429dc99bdeb5338e71,0
pi->pc,1.0,0AKE,east,16,5807,113300,23296,0,5e881451638a590dd1045383e6781ec2e0c7094acd28d6e73e65ee81be0d4e82,0
pi->pc,1.0,0AKE,north,16,5807,113320,23296,0,27cd7b2aa21e728f9641cc5e8aa1619d911db3746095f2b42685c38121fc913a,0
pi->pc,1.0,0AKE,up,16,5807,113246,23296,0,7e82aa8295181b2d0248e6638f17e844b6edceb431d31d9b17f1bc13a2d787c0,0
pi->pc,1.0,0ALE,east,11,3857,74867,16016,0,9c645f68dbe8f3c95f4fa96a69c31884213fdda446fe31df73515a7861d8f2e1,0
pi->pc,1.0,0ALE,north,11,3857,74859,16016,0,20d7bc91ea0b5b263ddedcdc9d4db1abb458849c71ac1b2a04127a09d01eaca8,0
pi->pc,1.0,0ALE,up,11,3857,74853,16016,0,440f713aed85939b3dedda665d2232e1cf19af799b5cd7e7a228d1c12cc0307e,0
pi->pc,1.0,0ALF,east,21,7541,147439,30576,0,ce2d2ae3bc5e6e44759f49ef8488223978a4c026023bffde5a04da0b23971fb7,0
pi->pc,1.0,0ALF,north,21,7541,147413,30576,0,c2266b1b9ff6d24810ead6ab1d38452a1cbcdb23338a1137395f522457d81e56,0
pi->pc,1.0,0ALF,up,21,7541,147401,30576,0,9f964416fa2e9cc306d39a466e3c652422b2ec269b80b17e2d3f1b820a1381d1,0
pi->pc,1.0,0ALI,east,16,5632,109972,23296,0,7d2344d21b4a92a98f6c3b6c8606f71186a42bd908f0c34c9e517aa1eb33b4e4,0
