group,n_blocks,n,n_flags,digest,bytes_header,bytes_payload,samples,p_c,p_v
00NA/east,3,3185,0,7bce3cbcfc5489831d624f8b0d79918b307665e65ad0971b6444ca044a17aa9f,1206,29848,3185,0.8320432426387345,0.03652715746627765
00NA/north,3,3185,0,cef3a8685938dcde67364b66d8939b712e4b0d27d3ef63c5eb3b23f8ee7d109f,1221,29848,3185,-0.2856338918206992,0.059440644745147396
00NA/up,3,3185,0,ff1df78203d6c7d0a87b0e9178cb944d3a312beea7951126c82696fec187641c,1210,29848,3185,0.8531924783357325,-0.0008366831189988285
01NA/east,3,2360,0,677764874ffdca7cce92b095b1a1cdbf0b7cacf42fbd4395d1d9c2715f6f9881,1225,23248,2360,-0.7216150458386229,0.0353530855082515
01NA/north,3,2360,0,955134cab6144dfc1ab3a0ed81d79429cde392fd1dec38da94102bb57daea46e,1239,23248,2360,-0.7624949603992812,0.05905215038756382
01NA/up,3,2360,0,328d8f17355d27cdf95f477071a310ebca51087e3eeac391d3c9f4578aa63cb1,1214,23248,2360,0.3985794740788681,-0.0034926933542402797
02NA/east,3,1913,0,42b82442113d065f96b188e68d78742f2d2fe8895b41d2dd834722346ac2cdae,1205,19672,1913,-0.22384940584660407,0.03621196751604646
02NA/north,3,1913,0,c5b421aa1d84d910c759f98983ec8c6eec4574b9d4b42f62ee492ecf90a65538,1232,19672,1913,-0.14127952325837867,0.059285900620611884
02NA/up,3,1913,0,46a01557cab75ea03362266111727a2cd6097b6513d2dcda90dcfe90b7531af1,1204,19672,1913,0.6581382145796704,-0.0012800333304349956
0ABI/east,5,6078,0,f3ebf6195bc6887d923687cc269ada798b534d7c0fdb2510320d22027880c68f,2011,55904,6078,0.04965102296790099,0.015211504803206216
0ABI/north,5,6078,0,3f5200837b044ffe22a335aed688da83fb90343402824ec9bcbee9c0dafc887e,2036,55904,6078,0.3756499806290815,0.014933633252606476
0ABI/up,5,6078,0,f7c0f3dc67f80f08400183a59bb18156199b7534d6ab25747bc0879c355ce1d1,2006,55904,6078,0.32372328848344273,0.0054744922964949086
0ABN/east,1,1206,0,da41655e67f9b1f76daa14fdb7892a84a24d25b0489c89b1cb6b3ac0d771bae1,410,11104,1206,0.3201942313581183,0.015356538569123277
0ABN/north,1,1206,0,5f44a9aa9f4e9142d1432b07d131e5d09fbcca88a7bb1da7944ab49b44de0986,410,11104,1206,0.3671303211546127,0.016497707089829044
0ABN/up,1,1206,0,6ded41c12cbb0ac034e35709d4cdcad0dceb883980c2b225e490d88a79b8cf2d,408,11104,1206,0.7619832935606689,0.007840553420593005
0ABY/east,3,4114,0,717c68b73e52fea50e0a8179ad038720582b17922e3f5c69c46bee3689d01a8c,1230,37280,4114,-0.6563157148259505,0.01863082924399064
0ABY/north,3,4114,0,106cb84f1f81ca3f5f0369eb5a396ac2e0c91756ed62a4edea53c518875d169a,1208,37280,4114,0.03211415877323639,0.013795782743881506
0ABY/up,3,4114,0,10f553813d65c66cf20c94747a3bfdac72cb0f0569253f16e0e880fb4b7b366b,1203,37280,4114,0.5069816887360781,0.005199919072145799
0AKE/east,4,5807,0,58dcac03d08adeee71ca8831f0101e9165eeedbc76e55c3ecfd6df48ab603f8e,1611,52280,5807,0.4245337713798395,0.01879964554371644
0AKE/north,4,5807,0,4c2c48c9fbf6f3e9614197ee0a1ea418d49a237872bd9956bcd9aa77dd2d5b8c,1623,52280,5807,0.9940640204154052,0.01421246015913537
0AKE/up,4,5807,0,a65dff06fc1f1b85fe49ba8e9f7fe396e41deaeace32428ba0cd0cd8883fcce8,1609,52280,5807,0.07313509932575364,0.005216297831871982
0ALE/east,3,3857,0,369168b98699d48db2927299c200c93c7876667b3c4710aefb0388ca66b91693,1207,35224,3857,0.4960797059266371,0.016941200070357987
0ALE/north,3,3857,0,bdff327264022ad55f8f22e3bce6a184e46c24cf40e07c97666390a11d29c8bc,1204,35224,3857,0.0753795021747138,0.014726810386447218
0ALE/up,3,3857,0,0dcc3212b991d4af712ab940fdf8b2fc2970bb9e8a05ef44e5d4109cc17e8c9c,1213,35224,3857,0.39590881423435903,0.009295282731428415
0ALF/east,6,7541,0,5e77fea1d75a6a1d2575e715515f8c31bc8382abefaa8c38f65d8f8c425f5eb6,2434,69064,7541,-0.8381173845487426,0.016668382473622036
0ALF/north,6,7541,0,813be0f6632a1bd220bdb6045d2540d5a627f93707fe7ccb902585293345de8e,2437,69064,7541,0.6782674960686208,0.01484687035742255
0ALF/up,6,7541,0,c3cfaf2cd29e0c56f24b6bb2c8768b5651fcaec78c87d346f36dba0dc9aeb07e,2399,69064,7541,0.6052127602223856,0.008301966715382466
0ALI/east,4,5632,0,9c78aa97a87c0957258e2b95955fe9d1d1f9815943b36287e8e19493fdfc70c9,1643,50880,5632,0.9423162525595067,0.017439377586338522
0ALI/north,4,5632,0,86195f3eadf3b14679b667155644a48cc25b513d2b56bf37147bcc18b78ce7ba,1620,50880,5632,0.4800974754901785,0.014535752811314152
0ALI/up,4,5632,0,92496f319f952909c23ea22fae400f85cec0de6d10e480b9d11b86740d7524e6,1625,50880,5632,0.6891020439488396,0.00354111568954264
0ALM/east,7,8827,0,f5220b673b16d7cb018512802ae108e7f59af1bbe42d37533dc17da4bf85c630,2837,80808,8827,-0.18845473171275873,0.018430767433293697
0ALM/north,7,8827,0,39cf6e6a3a615af1eda3b0a32ef7d4f2f894382badb1266d1824f34903b640d2,2861,80808,8827,0.6800297153401192,0.013765605610575944
0ALM/up,7,8827,0,15d883ee208afedbb53ac2a375442b3e2ea0cff0e8b56dbcfa88279ee73cb7b7,2816,80808,8827,0.5941668822448894,0.006407778569812501
0ALN/east,1,1197,0,13c03fb5d6782867feb0b1ad916c5b785b93d265257fdbbb15984ad5cf87aa42,420,11032,1197,0.929095105310624,0.016676458108707208
0ALN/north,1,1197,0,3bcb794c0214b5ced921758afd3b3f7ae5dc20c4a29ead23b7d9031d16621fa6,412,11032,1197,0.47312661735800715,0.013297694947680641
0ALN/up,1,1197,0,3cee08bb4fbb19c939888f92a7b940a10459e896676d36b1a23f0fa3d16b5e7b,417,11032,1197,0.6477794266886878,0.009646085314037798
0ALS/east,2,2833,0,b977f7aa1b97929701d060eff16941f6ff5e55ebe9ca5f61cb145ad0f927481b,813,25576,2833,0.20473139886252756,0.018713954581945767
0ALS/north,2,2833,0,c971aab0a1f34a0e53a996d6dafbe5d7691bb529d36b855a5fa35c6820cff7c3,820,25576,2833,0.06743074835731235,0.01429275195579629
0ALS/up,2,2833,0,17530f1a6d16857c7a977800d2283122146fe1f75ec30f323f11276cc2b8b47c,813,25576,2833,0.19054121415156644,0.0026581079958487262
0ALV/east,5,6707,0,fadebe019a813da10c1c23f919f9f41d36ea19bde80544dd97a32faaa1e82fb1,2027,60936,6707,0.2467475607425226,0.016170379226410733
0ALV/north,5,6707,0,bf064db07207a26934e7293ac4dffcee30588ee7476b955d2375c47bee3675ae,2032,60936,6707,0.2301950029258399,0.015154121501767176
0ALV/up,5,6707,0,6516a47fb8579e419c0f2a1b5fd5644e29fde4d873029455ff1130939984bd6c,2023,60936,6707,0.9247301255341938,0.007348461622718074
0AMB/east,3,4090,0,268acac9c51f088e2059fa2a902f8cc6a4824eae4a50e9d863373c8bd8a4a904,1215,37088,4090,-0.09907054725259755,0.016802317933259266
0AMB/north,3,4090,0,fc0587213c64567a270ca4df0289fa92278ea8d7f4c8ba7a30e4c97cd5d5e94f,1216,37088,4090,0.697829493728798,0.014926611135684477
0AMB/up,3,4090,0,489306f5a14224f16c13b8cb32999583c417e9886280648353e51b44eef5c7b9,1211,37088,4090,0.04402835124716098,0.007331902547584348
0AME/east,5,6179,0,79cd18b4f44a9c15b71b8993a5595a8708a0125facd67fb19311a269937eb58e,2024,56712,6179,0.6570315676130704,0.018066452834878732
0AME/north,5,6179,0,bd84a18c2247e39d773f97ed1271c80bc736c6333a6dec52556b37a10662c81a,2022,56712,6179,0.08344174525251023,0.014387879755276865
0AME/up,5,6179,0,d6996c1951b4f7ccd3345928e63af2eb99a3e381c2cc0c422d5f2d86b514b124,2013,56712,6179,0.36342886435130217,0.005247952739129431
0AMM/east,5,6683,0,8a08c6ac7338a4a0f06f0c794cb79daa1697f41e9af30776e33778d3f8fd90ab,2026,60744,6683,0.954505481333293,0.015191532466591886
0AMM/north,5,6683,0,8ad74aaf1f7b5fd5f1307840aac75cbfd6cf9c11601a08157fc2f707e785afd2,2052,60744,6683,0.6970848483441682,0.015039189591486143
0AMM/up,5,6683,0,2c593ef97d9a0485161030ba7220d5aa6bdd7a2291c3147200579c9ac5ac950e,2013,60744,6683,0.20919660928234723,0.0075197912693080755
0AMS/east,3,3714,0,d4bffe96fb103fa261601c47a4dec387bd3939252429f0ecbb9eb52bace24c53,1182,34080,3714,0.0420859055916655,0.01694347790030641
0AMS/north,3,3714,0,2990ca51e69f24a09332e988dc04a3b6ff51c3817005afe3c9d24a54d09fb819,1202,34080,3714,0.9354604076286361,0.014225556610462226
0AMS/up,3,3714,0,2271775cddd139be9bfa96b06a26660c0e6923fcdb1143899fa0a3d81fba1321,1186,34080,3714,0.8084306956110302,0.010211055718957395
0ANA/east,5,6849,0,aea059400a749d0452542b7f8fa33bbb7853709c980c3db2bced85aab922de6f,2029,62072,6849,-0.3556576773198233,0.01597446402795232
0ANA/north,5,6849,0,429fa8d8575f6b11cc26ba2747b935965511b90993201e24b9ba917c4e48b01c,2037,62072,6849,0.5025239288281068,0.015475369053543627
0ANA/up,5,6849,0,34b0977bcba305e236c6dc424e4b30d70e61bafbb814af909ecafc997e33c3f4,2015,62072,6849,0.6374227182234885,0.008099567008966796
0ANG/east,5,6616,0,ddf1bacf4faadd89973667d87d52e4d584258df56b316ee31e73a0b75bc3fe8c,2028,60208,6616,-0.9001268342918697,0.01641771215308577
0ANG/north,5,6616,0,c7773b0a1717cce63c6028c37e0d9f9da2ab82dcf653c8ee5d7b9c628352ae15,2033,60208,6616,0.8871414035664867,0.014663375208289128
0ANG/up,5,6616,0,a014c3fde247078988cd25d09b9495298dabda1d16a7cb24b6b2c33e73c546fc,2018,60208,6616,0.7876236163417207,0.00909658065984501
