sta,component,n,span,order,score,coverage,gram_cond,design_cond,gram_rebuild_err,gate,worst_param,v_image,v_raw
00NA,east,3185,10.4969,100,2.568275644797805e-11,5.4210671981712746e-12,223819547385763.06,14.006804909135262,0.0,ok,b1,0.036493854645093235,0.03649385464510119
00NA,north,3185,10.4969,100,2.4007206798158893e-11,5.4210671981712746e-12,223819547385763.06,14.006804909135262,0.0,ok,b1,0.05946983759526571,0.05946983759526303
00NA,up,3185,10.4969,100,3.7959188978777805e-10,5.4210671981712746e-12,223819547385763.06,14.006804909135262,0.0,ok,b1,-0.0007931862123965768,-0.0007931862123732122
01NA,east,2360,11.4743,108,5.04096501570935e-10,2.35096814475648e-12,1.3474714369766554e+18,12.1819743385013,0.0,ok,b2,0.035335289334435936,0.03533528933438614
01NA,north,2360,11.4743,108,2.8104669073642496e-10,2.35096814475648e-12,1.3474714369766554e+18,12.1819743385013,0.0,ok,a2,0.0590691395934396,0.05906913959345551
01NA,up,2360,11.4743,108,9.538658339861089e-10,2.35096814475648e-12,1.3474714369766554e+18,12.1819743385013,0.0,ok,b2,-0.0034575353886196177,-0.0034575353885815925
02NA,east,1913,8.2738,83,2.3262577238321328e-10,9.396186571571394e-12,1.6484865254844893e+17,6.662397753405236,0.0,ok,a1,0.03616778400114371,0.036167784001175866
02NA,north,1913,8.2738,83,7.710451436331079e-10,9.396186571571394e-12,1.6484865254844893e+17,6.662397753405236,0.0,ok,a2,0.05929975271000699,0.0592997527100233
02NA,up,1913,8.2738,83,4.937593299210493e-10,9.396186571571394e-12,1.6484865254844893e+17,6.662397753405236,0.0,ok,a2,-0.0015901588772513104,-0.0015901588770220617
0ABI,east,6078,17.1965,154,9.793067249146798e-14,1.2077807076568491e-11,327.9695345634427,19.915084251721247,0.0,ok,a2,0.015198656937106259,0.015198656937106089
0ABI,north,6078,17.1965,154,8.339615155722458e-14,1.2077807076568491e-11,327.9695345634427,19.915084251721247,0.0,ok,v,0.014935119097153967,0.014935119097152722
0ABI,up,6078,17.1965,154,1.9409581501955247e-13,1.2077807076568491e-11,327.9695345634427,19.915084251721247,0.0,ok,v,0.005501006290920666,0.005501006290919598
0ABN,east,1206,3.3813,44,7.548425839323902e-13,1.3872426824276709e-11,91.69755626315823,4.730652602148303,0.0,ok,b2,0.015310570119827373,0.015310570119827222
0ABN,north,1206,3.3813,44,2.2331925217049802e-13,1.3872426824276709e-11,91.69755626315823,4.730652602148303,0.0,ok,a2,0.01650509177972786,0.01650509177972802
0ABN,up,1206,3.3813,44,9.643998487639334e-13,1.3872426824276709e-11,91.69755626315823,4.730652602148303,0.0,ok,b2,0.008004274396112305,0.008004274396113002
0ABY,east,4114,11.3676,107,2.1208628133158206e-14,1.1369373378095702e-11,219.40386260859606,13.29835313298889,0.0,ok,b1,0.018628730808762865,0.018628730808762848
0ABY,north,4114,11.3676,107,4.49607488370565e-13,1.1369373378095702e-11,219.40386260859606,13.29835313298889,0.0,ok,a2,0.01379660001026695,0.013796600010266957
0ABY,up,4114,11.3676,107,2.2348080137330928e-13,1.1369373378095702e-11,219.40386260859606,13.29835313298889,0.0,ok,b2,0.005218851840213592,0.0052188518402136366
0AKE,east,5807,15.9918,144,6.905712050074093e-14,1.8817117726328095e-11,302.9167743736749,18.603022443173344,0.0,ok,a2,0.01879019437088161,0.01879019437088165
0AKE,north,5807,15.9918,144,2.7273690318791725e-14,1.8817117726328095e-11,302.9167743736749,18.603022443173344,0.0,ok,a2,0.014218543215929842,0.014218543215929925
