sta,kind,index,component,n,span,order,a1,a2,b1,b2,c,v,stderr_a1,stderr_a2,stderr_b1,stderr_b2,stderr_c,stderr_v,rss,bic,converged,midas_v,midas_sigma,midas_span,midas_steps,diff,diff_over_sigma,within_sigma,error
00NA,whole,0,east,3185,10.4969,100,-0.00016161078542266665,0.00033965088901099166,-0.001954942909579812,-0.0002627884256252874,0.8322925263451345,0.03649385464509414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,True,0.036184,0.000234,10.4969,1,0.00030985464509413613,1.3241651499749407,False,
00NA,whole,0,north,3185,10.4969,100,-0.001518109648327454,-0.0008289417862721751,0.001158160837997049,-0.0004715775192026521,-0.2857785442928183,0.05946983759526545,8.825347057330235e-05,8.922407162479061e-05,8.984157454329077e-05,8.856977843267535e-05,0.00013713453769571065,2.1907846420333544e-05,0.03983782073536717,-35907.533134643156,True,0.058504,0.000267,10.4969,1,0.0009658375952654522,3.6173692706571243,False,
00NA,whole,0,up,3185,10.4969,100,-0.002147631089602092,-0.00015190836317365467,0.0007639970260789334,0.0007492996898784384,0.852939107980608,-0.0007931862123803457,0.0001980019779578955,0.00020017957988962987,0.00020156498488802313,0.00019871163369599432,0.0003076695968295024,4.9151573256497784e-05,0.2005261632312863,-30760.165463044,True,-0.000718,0.000892,10.4969,1,-7.518621238034571e-05,-0.0842894757627194,True,
00NA,seg,0,east,2733,9.1033,89,-9.163174011164388e-05,0.0003653881741921663,-0.0020558300118725613,-0.00026168682974937773,0.8333296564091348,0.03620838036111176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,True,,,,,,,,
00NA,seg,0,north,2733,9.1033,89,-0.0011842317744761223,-0.0009298395309885081,0.0005960405116692543,-0.0005390733929125097,-0.2833322195853597,0.05880789126905502,8.820385515207236e-05,8.864760322531537e-05,9.021111380364951e-05,8.826821783576374e-05,0.00013982380927320806,2.583273090991147e-05,0.02902719869180469,-31252.687825163244,True,,,,,,,,
00NA,seg,0,up,2733,9.1033,89,-0.0021173987063316034,-0.00015953579713905717,0.00026316572469862044,0.0004540746537525567,0.8537006692809652,-0.0009845282573803596,0.00023104744035056218,0.00023220982555817614,0.00023630539617084726,0.00023121603653374884,0.0003662644130116675,6.766808937896703e-05,0.19917384805746932,-25989.080754243056,True,,,,,,,,
00NA,seg,1,east,452,1.3909,28,0.00037730730474373536,0.00012117679040151737,-0.002582073456432645,-0.0004908283251940353,0.8488287551555398,0.035038134772283,9.585146553519567e-05,9.602785027533249e-05,9.768745670885844e-05,9.72011413111019e-05,0.0018224931336348997,0.00018490083532993412,0.0008776075985147693,-5908.018820024783,True,,,,,,,,
00NA,seg,1,north,452,1.3909,28,-0.0013612281112297773,-0.00043008996176770365,0.001501680520929172,-5.836132693433933e-05,-0.2718928476845585,0.05852414927731392,9.629430009533494e-05,9.647149973442377e-05,9.813877356333999e-05,9.765021138444086e-05,0.0018309130669210913,0.00018575507871187435,0.000885735439254196,-5903.851950670861,True,,,,,,,,
00NA,seg,1,up,452,1.3909,28,-0.002188476328526081,-6.0443706696995665e-05,0.0024956337934863813,0.0031039304591737853,0.8106794929638578,0.0035847773164130355,0.00033093623156672596,0.0003315452165298752,0.0003372751643812547,0.00033559611457030194,0.006292329557338948,0.0006383875855832341,0.010461440618601069,-4787.848966935231,True,,,,,,,,
00NA,segmean,-1,east,3185,10.494200000000001,89,-2.5082148816626165e-05,0.00033073086007179796,-0.0021305119700958447,-0.00029420549723477345,0.8355292145357832,0.03604230469199069,,,,,,,,,True,0.036184,0.000234,10.4969,1,-0.00014169530800930974,-0.6055355043132895,True,
00NA,segmean,-1,north,3185,10.494200000000001,89,-0.0012093502498961074,-0.0008589174571147865,0.0007245646197337701,-0.00047085303064496397,-0.28170879851811886,0.05876762395970903,,,,,,,,,True,0.058504,0.000267,10.4969,1,0.000263623959709032,0.987355654340944,True,
00NA,segmean,-1,up,3185,10.494200000000001,89,-0.0021274857032646975,-0.00014547312056768766,0.0005799869388562555,0.0008301295435642978,0.8475953092510333,-0.0003360742167666659,,,,,,,,,True,-0.000718,0.000892,10.4969,1,0.0003819257832333341,0.4281679184230203,True,
