sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw
00NA,east,trend,2,-27764.477224217273,-38033.44025450307,0.518861210164737,0.02064498046035794,3,3
00NA,east,trend_annual,4,-27785.90324548706,-39128.943679883094,0.5127785840100778,0.0145625034896504,0,2
00NA,east,trend_annual_semi,6,-27771.626679019617,-39178.72818167743,0.5124798831454989,0.014264214548234849,2,1
00NA,east,trend_quad_annual_semi,7,-27779.08417992356,-39782.19404213738,0.5099881305639233,0.011772309634698757,1,0
00NA,north,trend,2,-35755.13481001229,-35097.340432875586,0.04221585001643501,0.05190030102004421,3,3
00NA,north,trend_annual,4,-36219.932108119894,-35466.50773466143,0.03629926173638217,0.04598666056110922,2,2
00NA,north,trend_annual_semi,6,-36330.05807561657,-35549.581186552554,0.0348884503468726,0.04457635349327697,1,1
00NA,north,trend_quad_annual_semi,7,-39343.874013841065,-37622.1832677306,0.01350919055599227,0.023194901217712883,0,0
00NA,up,trend,2,-28152.641354823132,-31201.942875364744,0.45932768275252567,0.17633213532799139,3,3
00NA,up,trend_annual,4,-28192.78668861549,-31334.52987107006,0.4512828199676301,0.1682878080183684,1,2
00NA,up,trend_annual_semi,6,-28183.30533310083,-31336.268675968036,0.45034141425982854,0.16734617958725395,2,1
00NA,up,trend_quad_annual_semi,7,-28199.782979559397,-31394.682819961425,0.44688438598745306,0.16388937322328614,0,0
01NA,east,trend,2,-27294.973019557943,-28113.168737472977,0.022240699785332496,0.015724670260542178,3,3
01NA,east,trend_annual,4,-27862.515603261152,-28972.00967186619,0.017371971588291846,0.010856168826322584,2,2
01NA,east,trend_annual_semi,6,-27871.45050006295,-28995.73709742099,0.017192794931512708,0.010677062733224317,1,1
01NA,east,trend_quad_annual_semi,7,-28299.025006494718,-29734.765942079448,0.014296630838248219,0.007780799532438611,0,0
01NA,north,trend,2,-inf,-28383.11982328332,0.0,0.014025046682647953,0,3
01NA,north,trend_annual,4,-inf,-28903.95994108454,0.0,0.011173759253083683,1,2
01NA,north,trend_annual_semi,6,-inf,-29099.11052318889,0.0,0.010219477637437174,2,1
01NA,north,trend_quad_annual_semi,7,-inf,-29163.335786204083,0.0,0.009912439886775832,3,0
01NA,up,trend,2,-23628.460983469155,-22726.19795193741,0.10516501931681693,0.15413757886921967,3,3
01NA,up,trend_annual,4,-23774.749835010578,-22819.8469488931,0.09819567958094637,0.14716907343454316,2,2
01NA,up,trend_annual_semi,6,-23837.13857414123,-22856.022141654947,0.09500643276510098,0.14397964055218473,1,1
01NA,up,trend_quad_annual_semi,7,-23893.06741516722,-22890.091830924088,0.09247654886166662,0.1414497797834826,0,0
02NA,east,trend,2,-24537.33672363385,-24449.276093743323,0.005102122079107232,0.005342476375595057,3,3
02NA,east,trend_annual,4,-24888.615943770346,-24782.473912038917,0.0042128065458401165,0.004453158676573175,2,2
02NA,east,trend_annual_semi,6,-25086.83037759839,-24968.545365103553,0.003768264447682641,0.004008618803759259,1,1
02NA,east,trend_quad_annual_semi,7,-25091.860923957982,-24972.81941919849,0.003743551772091547,0.003983904975253842,0,0
02NA,north,trend,2,-23491.441141575324,-23512.540489270123,0.008814403263578297,0.00871771936363255,3,3
02NA,north,trend_annual,4,-23639.71647708571,-23662.701102698906,0.008092823757769083,0.00799617057880541,2,2
02NA,north,trend_annual_semi,6,-24088.073334543275,-24117.41225936276,0.006351582202774591,0.006254913675500319,1,1
02NA,north,trend_quad_annual_semi,7,-24133.677350405364,-24163.85075084085,0.006177507681036413,0.006080835379459804,0,0
02NA,up,trend,2,-18633.282810837678,-18806.470936271962,0.11171340297841498,0.10204403907110439,3,3
02NA,up,trend_annual,4,-18996.53672653479,-19209.785121091438,0.09166581920700012,0.08199647665813188,1,1
02NA,up,trend_annual_semi,6,-18991.41746384553,-19205.84821345114,0.09118820170745681,0.08151884112753946,2,2
02NA,up,trend_quad_annual_semi,7,-19168.1632297788,-19405.68072857252,0.08281287535029358,0.07314354297279355,0,0
0ABI,east,trend,2,-72394.23278414384,-72394.23278413808,0.04070924225576561,0.04070924225580423,3,3
0ABI,east,trend_annual,4,-75349.57688739912,-75349.57688738966,0.024961933287036265,0.024961933287075112,2,2
0ABI,east,trend_annual_semi,6,-75380.16326749166,-75380.1632674822,0.024765531105829748,0.024765531105868245,1,1
0ABI,east,trend_quad_annual_semi,7,-75612.36735690871,-75612.3673568988,0.02380308859836358,0.02380308859840239,0,0
0ABI,north,trend,2,-74226.15914609333,-74226.15914514956,0.03011587151080335,0.030115871515479578,3,3
0ABI,north,trend_annual,4,-74309.51281999814,-74309.51281903857,0.029620641142148817,0.02962064114682516,2,2
0ABI,north,trend_annual_semi,6,-74543.14325179129,-74543.14325079125,0.02842206777391406,0.028422067778590385,1,1
0ABI,north,trend_quad_annual_semi,7,-74635.44232269778,-74635.44232168104,0.027953619128175324,0.027953619132851482,0,0
0ABI,up,trend,2,-58324.692352943166,-58324.69235292735,0.4121081259012317,0.4121081259023037,3,3
0ABI,up,trend_annual,4,-60617.66236635857,-60617.66236633541,0.28178984382202715,0.28178984382310107,2,2
0ABI,up,trend_annual_semi,6,-60817.226218481184,-60817.22621845716,0.2719072135814229,0.2719072135824975,0,0
0ABI,up,trend_quad_annual_semi,7,-60810.55183034677,-60810.55183032273,0.271816054375902,0.271816054376977,1,1
0ABN,east,trend,2,-14620.665036758617,-14620.665036673023,0.006473922636750908,0.006473922637210385,3,3
