sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw,error
00NA,east,trend,2,-inf,,0.0,,0,,
00NA,east,trend_annual,4,-inf,,0.0,,1,,
00NA,east,trend_annual_semi,6,-inf,,0.0,,2,,
00NA,east,trend_quad_annual_semi,7,-inf,,0.0,,3,,
00NA,north,trend,2,-35402.17758251238,,0.04716321941292785,,3,,
00NA,north,trend_annual,4,-35812.764646324234,,0.0412493964315055,,2,,
00NA,north,trend_annual_semi,6,-35907.533134643156,,0.03983782073536717,,1,,
00NA,north,trend_quad_annual_semi,7,-38349.69718164235,,0.01845829140430093,,0,,
00NA,up,trend,2,-30652.80909324176,,0.2095121723635744,,3,,
00NA,up,trend_annual,4,-30761.36657579617,,0.2014684382640492,,1,,
00NA,up,trend_annual_semi,6,-30760.165463044,,0.2005261632312863,,2,,
00NA,up,trend_quad_annual_semi,7,-30807.47714304221,,0.1970697321298559,,0,,
01NA,east,trend,2,-inf,,0.0,,0,,
01NA,east,trend_annual,4,-inf,,0.0,,1,,
01NA,east,trend_annual_semi,6,-inf,,0.0,,2,,
01NA,east,trend_quad_annual_semi,7,-inf,,0.0,,3,,
01NA,north,trend,2,-25739.964984142436,,0.04298390073073714,,3,,
01NA,north,trend_annual,4,-25886.418116261317,,0.040132541856421115,,2,,
01NA,north,trend_annual_semi,6,-25927.685203978257,,0.03917817217642306,,1,,
01NA,north,trend_quad_annual_semi,7,-25938.482490716582,,0.03887120648492486,,0,,
01NA,up,trend,2,-22835.697279145388,,0.14714927575811615,,3,,
01NA,up,trend_annual,4,-22934.65623216931,,0.1401809494157743,,2,,
01NA,up,trend_annual_semi,6,-22973.437719279875,,0.13699159055385213,,1,,
01NA,up,trend_quad_annual_semi,7,-23009.67174836885,,0.1344611465870562,,0,,
02NA,east,trend,2,-24472.51547920015,,0.005277967864841138,,3,,
02NA,east,trend_annual,4,-24810.386525473954,,0.004388654304037232,,2,,
02NA,east,trend_annual_semi,6,-24999.577265796055,,0.003944117208710907,,1,,
02NA,east,trend_quad_annual_semi,7,-25004.045909603727,,0.003919402343141476,,0,,
02NA,north,trend,2,-23548.673085315622,,0.008554605049086561,,3,,
02NA,north,trend_annual,4,-23702.12784092557,,0.007833056956222606,,2,,
02NA,north,trend_annual_semi,6,-24167.9599421464,,0.0060918029575613986,,1,,
02NA,north,trend_quad_annual_semi,7,-24215.863002977432,,0.005917731860686004,,0,,
02NA,up,trend,2,-18678.572781481194,,0.10909966789913028,,3,,
02NA,up,trend_annual,4,-19051.874309025978,,0.08905217580268499,,1,,
02NA,up,trend_annual_semi,6,-19047.05252099808,,0.08857440194850952,,2,,
02NA,up,trend_quad_annual_semi,7,-19229.512847726517,,0.08019921296090615,,0,,
0ABI,east,trend,2,-72394.2327841481,,0.040709242255737035,,3,,
0ABI,east,trend_annual,4,-75349.57688740599,,0.024961933287008044,,2,,
0ABI,east,trend_annual_semi,6,-75380.16326749866,,0.024765531105801174,,1,,
0ABI,east,trend_quad_annual_semi,7,-75612.36735691599,,0.023803088598335118,,0,,
0ABI,north,trend,2,-74226.1591460474,,0.030115871511030914,,3,,
0ABI,north,trend_annual,4,-74309.51281995152,,0.029620641142376072,,2,,
0ABI,north,trend_annual_semi,6,-74543.14325174269,,0.0284220677741413,,1,,
0ABI,north,trend_quad_annual_semi,7,-74635.44232264835,,0.027953619128402676,,0,,
0ABI,up,trend,2,-58324.69235294319,,0.4121081259012303,,3,,
0ABI,up,trend_annual,4,-60617.66236635858,,0.2817898438220268,,2,,
0ABI,up,trend_annual_semi,6,-60817.226218481184,,0.27190721358142295,,0,,
0ABI,up,trend_quad_annual_semi,7,-60810.55183034676,,0.2718160543759024,,1,,
0ABN,east,trend,2,-14620.665036753337,,0.006473922636779255,,3,,
0ABN,east,trend_annual,4,-16013.127454985093,,0.00201658128123024,,1,,
0ABN,east,trend_annual_semi,6,-16000.192588846974,,0.002014483418723796,,2,,
0ABN,east,trend_quad_annual_semi,7,-16111.341578362011,,0.0018263442942565307,,0,,
0ABN,north,trend,2,-15288.88081369769,,0.0037199346663207553,,3,,
0ABN,north,trend_annual,4,-16047.0595399135,,0.0019606334022275827,,2,,
0ABN,north,trend_annual_semi,6,-16095.870261994587,,0.0018608401400907538,,1,,
0ABN,north,trend_quad_annual_semi,7,-16139.5694285221,,0.0017840929554832393,,0,,
0ABN,up,trend,2,-11789.813283806177,,0.06770017738538103,,3,,
0ABN,up,trend_annual,4,-12498.46973357802,,0.03717786389858018,,2,,
0ABN,up,trend_annual_semi,6,-12527.033189092503,,0.03588296945327258,,1,,
0ABN,up,trend_quad_annual_semi,7,-12543.947672807688,,0.03517566047934438,,0,,
0ABY,east,trend,2,-48578.181388992896,,0.030503569561958356,,3,,
0ABY,east,trend_annual,4,-53873.357083634284,,0.008387031867055998,,2,,
