sta,n,span,order,n_segments,skipped_segments,n_blocks,dropped_blocks,n_flags,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
00NA,3185,10.4969,100,2,0,11,0,0,8712,504024,229320,649944,544788,0.24,
01NA,2360,11.4743,108,2,1,10,0,0,8640,543168,167568,481644,547068,0.038,
02NA,1913,8.2738,83,0,0,7,6,0,4200,197736,91584,390456,214390,0.023,
0ABI,6078,17.1965,154,0,0,18,0,0,9336,649608,291744,1240116,765614,0.09,
0ABN,1206,3.3813,44,0,0,4,0,0,2328,64824,57888,246228,89484,0.014,
0ABY,4114,11.3676,107,0,0,12,0,0,6336,328608,197472,839460,402259,0.048,
0AKE,5807,15.9918,144,0,0,16,0,0,8472,569496,278736,1184832,677307,0.078,
0ALE,3857,10.6886,102,0,0,11,0,0,5904,299232,185136,787032,364249,0.046,
0ALF,7541,20.7502,183,0,0,21,0,0,10968,897720,361968,1538568,1037731,0.286,
0ALI,5632,15.5291,141,0,0,16,0,0,8400,548832,270336,1149132,653178,0.068,
0ALM,8827,24.3395,211,0,0,25,0,0,12888,1180056,423696,1800912,1347253,0.129,
0ALN,1197,3.3813,44,0,0,4,0,0,2328,64824,57456,244392,89350,0.014,
0ALS,2833,7.8412,79,0,0,8,0,0,4416,186048,135984,578136,231070,0.029,
0ALV,6707,18.4038,164,5,0,19,0,0,15504,1022688,482904,1368432,1138704,0.113,
0AMB,4090,11.2882,107,0,0,12,0,0,6336,328608,196320,834564,399951,0.055,
0AME,6179,17.1006,153,0,0,18,0,0,9312,642192,296592,1260720,760041,0.081,
0AMM,6683,18.5572,165,0,0,19,0,0,9912,738408,320784,1363536,865112,0.287,
0AMS,3714,10.2971,99,0,0,11,0,0,5832,284616,178272,757860,347736,0.046,
0ANA,6849,18.9596,168,0,0,19,0,0,9984,762528,328752,1397400,899796,0.097,
0ANG,6616,18.2094,162,0,0,19,0,0,9840,714720,317568,1349868,844821,0.091,
