sta,n,span,order,n_segments,skipped_segments,n_blocks,dropped_blocks,n_flags,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
00NA,3185,10.4969,100,2,0,37,6,0,16824,609480,228984,649944,685064,0.244,
01NA,2360,11.4743,108,2,1,29,6,2,14568,620232,167040,481644,648942,0.049,
02NA,1913,8.2738,83,0,0,24,9,0,9504,266688,91368,390456,306351,0.035,
0ABI,6078,17.1965,154,0,0,69,0,4,25248,856464,291744,1240116,1042382,0.126,
0ABN,1206,3.3813,44,0,0,14,0,0,5448,105384,57888,246228,143696,0.021,
0ABY,4114,11.3676,107,0,0,46,0,2,16944,466512,197472,839460,586198,0.074,
0AKE,5807,15.9918,144,0,0,64,0,3,23448,764184,278736,1184832,936385,0.103,
0ALE,3857,10.6886,102,0,0,43,0,2,15888,429024,185136,787032,538551,0.067,
0ALF,7541,20.7502,183,0,0,83,0,4,30312,1149192,361944,1538568,1374017,0.33,
0ALI,5632,15.5291,141,0,0,62,0,2,22752,735408,270072,1149132,902121,0.102,
0ALM,8827,24.3395,211,0,0,98,0,6,35664,1476144,423696,1800912,1740590,0.183,
0ALN,1197,3.3813,44,0,0,14,0,0,5448,105384,57456,244392,143545,0.02,
0ALS,2833,7.8412,79,0,0,32,0,1,11904,283392,135984,578136,360711,0.046,
0ALV,6707,18.4038,164,5,0,74,0,3,32664,1245768,482904,1368432,1436152,0.132,
0AMB,4090,11.2882,107,0,0,46,0,2,16944,466512,196320,834564,584370,0.07,
0AME,6179,17.1006,153,0,0,69,0,5,25224,849048,296592,1260720,1036501,0.109,
0AMM,6683,18.5572,165,0,0,75,0,4,27384,965544,320784,1363536,1168438,0.302,
0AMS,3714,10.2971,99,0,0,42,0,3,15504,410352,178272,757860,515881,0.064,
0ANA,6849,18.9596,168,0,0,76,0,5,27768,993720,328752,1397400,1205766,0.136,
0ANG,6616,18.2094,162,0,0,73,0,4,26688,933744,317568,1349868,1134788,0.122,
